HoleID,Easting,Northing,Elevation,z_on_terra,MaxDepth,StratAtEOH,Class,In_Licence,Dip,DipDir,HOLEID,PROJECTCOD,HOLETYPE,EASTING,NORTHING,ELEVATION,CORD_SYST,WGS84_CALX,WGS84_CALY,WGS84_CALZ,Depth_m_D,PROSPECT,ColSurvMet,STARTDATE,ENDDATE,DrillType,HoleStatus,HL_Comp,Col_Comm
TH_740081,4360947.349999999627471,5678119.469999999739230,205.000000000000000,208.739529134434974,114.700000000000003,nicht eingestuft,,No,90,0,TH_740081,DESERTEX-DE,DRILLHOLE,4360947.349999999627471,5678119.469999999739230,205.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),10.0080646,51.2210414,205.000000000000000,114.700000000000003,,GPS,,,DDH,,,nicht eingestuft
Eschwege 2,4355595.000000000000000,5677239.000000000000000,239.060000000000002,237.736354051481811,167.000000000000000,,,No,90,0,Eschwege 2,DESERTEX-DE,DRILLHOLE,4355595.000000000000000,5677239.000000000000000,239.060000000000002,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.9318561,51.211804,239.060000000000002,167.000000000000000,,GPS,,,DDH,,,
Herlefeld,4342907.000000000000000,5662879.000000000000000,362.560000000000002,369.986745322439731,151.000000000000000,,,No,90,0,Herlefeld,DESERTEX-DE,DRILLHOLE,4342907.000000000000000,5662879.000000000000000,362.560000000000002,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7566783,51.0794774,362.560000000000002,151.000000000000000,,GPS,,,DDH,,,
Obergude,4339370.000000000000000,5662062.000000000000000,308.879999999999995,304.513558476288836,200.199999999999989,,,No,90,0,Obergude,DESERTEX-DE,DRILLHOLE,4339370.000000000000000,5662062.000000000000000,308.879999999999995,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7066086,51.0711605,308.879999999999995,200.199999999999989,,GPS,,,DDH,,,
HKZ1001,4341821.129999999888241,5654653.950000001117587,245.000000000000000,240.546196477722475,1702.000000000000000,,,No,90,0,HKZ1001,DESERTEX-DE,DRILLHOLE,4341821.129999999888241,5654653.950000001117587,245.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7447857,51.0053027,245.000000000000000,1702.000000000000000,,GPS,,,DDH,,,
Weidenhausen,4359060.799999999813735,5677515.830000000074506,171.180000000000007,178.346281616500306,31.000000000000000,,,No,90,0,Weidenhausen,DESERTEX-DE,DRILLHOLE,4359060.799999999813735,5677515.830000000074506,171.180000000000007,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.9813148,51.2151564,171.180000000000007,31.000000000000000,,GPS,,,DDH,,,
Cornberg,4349990.389999999664724,5658105.280000000260770,302.000000000000000,302.009639340958358,151.599999999999994,,,Yes,90,0,Cornberg,DESERTEX-DE,DRILLHOLE,4349990.389999999664724,5658105.280000000260770,302.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.8596642,51.0384923,302.000000000000000,151.599999999999994,,GPS,,,DDH,,,
C/77-B10,4353728.169999999925494,5660165.299999999813735,235.000000000000000,255.566463403696417,68.200000000000003,,,Yes,90,0,C/77-B10,DESERTEX-DE,DRILLHOLE,4353728.169999999925494,5660165.299999999813735,235.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.9120873,51.0579605,235.000000000000000,68.200000000000003,,GPS,,,DDH,,,
KB1,4356128.519999999552965,5659867.269999999552965,288.829999999999984,298.548769103605594,15.000000000000000,,,Yes,90,0,KB1,DESERTEX-DE,DRILLHOLE,4356128.519999999552965,5659867.269999999552965,288.829999999999984,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.9464205,51.0558896,288.829999999999984,15.000000000000000,,GPS,,,DDH,,,
Ro39,4358152.450000000186265,5656841.790000000037253,200.000000000000000,317.540055584232164,197.199999999999989,,Mx at EOS,Yes,90,0,Ro39,DESERTEX-DE,DRILLHOLE,4358152.450000000186265,5656841.790000000037253,200.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.9764537,51.0292144,200.000000000000000,197.199999999999989,,GPS,,,DDH,Finished,,
Ro46,4358278.290000000037253,5658087.940000000409782,200.000000000000000,361.757684351679757,228.000000000000000,,NA,Yes,90,0,Ro46,DESERTEX-DE,DRILLHOLE,4358278.290000000037253,5658087.940000000409782,200.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.9777591,51.0404399,200.000000000000000,228.000000000000000,,GPS,,,DDH,Unknown,,
Ro23,4347683.870000000111759,5647432.719999999739230,300.000000000000000,295.161542974226961,380.000000000000000,,Mx at SOS,Yes,90,0,Ro23,DESERTEX-DE,DRILLHOLE,4347683.870000000111759,5647432.719999999739230,300.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.8312762,50.9420195,300.000000000000000,380.000000000000000,,GPS,,,DDH,Finished,,
Ro24,4344928.929999999701977,5646768.969999999739230,205.000000000000000,220.375559449061171,442.500000000000000,,Dead,original,90,0,Ro24,DESERTEX-DE,DRILLHOLE,4344928.929999999701977,5646768.969999999739230,205.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7923907,50.9353234,205.000000000000000,442.500000000000000,,GPS,,,DDH,Abandoned,,
Ro26,4347272.330000000074506,5647774.820000000298023,270.000000000000000,269.153956258669382,400.000000000000000,,WS,Yes,90,0,Ro26,DESERTEX-DE,DRILLHOLE,4347272.330000000074506,5647774.820000000298023,270.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.8252817,50.9449836,270.000000000000000,400.000000000000000,,GPS,,,DDH,Finished,,
Ro27,4346047.309999999590218,5649651.629999999888241,215.000000000000000,220.205809581672213,432.000000000000000,,Dead,Yes,90,0,Ro27,DESERTEX-DE,DRILLHOLE,4346047.309999999590218,5649651.629999999888241,215.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.8070705,50.9615162,215.000000000000000,432.000000000000000,,GPS,,,DDH,Abandoned,,
Ro29,4343660.440000000409782,5649423.419999999925494,210.000000000000000,214.836112147726539,459.199999999999989,,Dead,original,90,0,Ro29,DESERTEX-DE,DRILLHOLE,4343660.440000000409782,5649423.419999999925494,210.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7732199,50.9588239,210.000000000000000,459.199999999999989,,GPS,,,DDH,Abandoned,,
Ro32,4342069.690000000409782,5644157.300000000745058,195.000000000000000,195.878756126758589,503.500000000000000,,Dead,No,90,0,Ro32,DESERTEX-DE,DRILLHOLE,4342069.690000000409782,5644157.300000000745058,195.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7528776,50.9110895,195.000000000000000,503.500000000000000,,GPS,,,DDH,Abandoned,,
Ro33,4347520.580000000074506,5648340.330000000074506,205.000000000000000,208.125471178139378,251.900000000000006,,Mx at SOS,Yes,90,0,Ro33,DESERTEX-DE,DRILLHOLE,4347520.580000000074506,5648340.330000000074506,205.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.8285747,50.9501291,205.000000000000000,251.900000000000006,,GPS,,,DDH,Finished,,
Ro34,4347363.129999999888241,5651850.490000000223517,220.000000000000000,226.194169748777625,244.750000000000000,,Dead,Yes,90,0,Ro34,DESERTEX-DE,DRILLHOLE,4347363.129999999888241,5651850.490000000223517,220.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.8248635,50.9816174,220.000000000000000,244.750000000000000,,GPS,,,DDH,Abandoned,,
Ro36,4347359.190000000409782,5650524.230000000447035,310.000000000000000,313.931954268677316,320.449999999999989,,Mx at EOS,Yes,90,0,Ro36,DESERTEX-DE,DRILLHOLE,4347359.190000000409782,5650524.230000000447035,310.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.825364,50.9697033,310.000000000000000,320.449999999999989,,GPS,,,DDH,Finished,,
Ro43,4344246.940000000409782,5644769.520000000484288,214.000000000000000,219.329984716308019,492.000000000000000,,Dead,No,90,0,Ro43,DESERTEX-DE,DRILLHOLE,4344246.940000000409782,5644769.520000000484288,214.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.78355,50.91718,214.000000000000000,492.000000000000000,,GPS,,,DDH,Abandoned,,
Blankenheim,4342597.150000000372529,5646509.849999999627471,308.000000000000000,305.640711357622251,485.100000000000023,,,No,90,0,Blankenheim,DESERTEX-DE,DRILLHOLE,4342597.150000000372529,5646509.849999999627471,308.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7593565,50.9323645,308.000000000000000,485.100000000000023,,GPS,,,DDH,,,
Ro44,4338909.610000000335276,5653220.790000000037253,260.000000000000000,289.737349891851920,257.220000000000027,,Dead,No,90,0,Ro44,DESERTEX-DE,DRILLHOLE,4338909.610000000335276,5653220.790000000037253,260.000000000000000,DHDN / Gauss-Kruger Zone 4 (EPSG:31468),9.7039735,50.9916229,260.000000000000000,257.220000000000027,,GPS,,,DDH,Abandoned,,
