pid,thesaurus,code,term
1001,2,1553,"rare earth elements"
1001,2,1396,arsenic
1001,2,1409,bismuth
1001,2,1466,hafnium
1001,2,1479,indium
1001,2,1521,niobium
1001,2,1558,rhenium
1001,2,1593,thorium
1001,2,1596,tin
1001,2,1600,tungsten
1001,2,1605,uranium
1001,2,1617,yttrium
1001,2,1619,zirconium
1001,2,470,geophysics
1001,2,18,"aeromagnetic surveying"
1001,2,19,"aeroradiometric surveying"
1001,4,4.8,"Intrusive carbonatite"
1001,4,4.6,"Alkalic intrusive rock"
1001,2,2043,"mineral deposits"
1001,2,745,"mineral resources"
1001,2,312,"economic geology"
1001,3,686,"mineral deposit areas"
1001,2,2093,"study areas"
1001,1,f02090,"Fairbanks North Star"
1001,1,f02240,"Southeast Fairbanks"
1001,1,f02290,Yukon-Koyukuk
1001,1,q64144,Tanacross
1001,1,q64147,"Mt Hayes"
1001,1,q65144,Eagle
1001,1,q65147,"Big Delta"
1001,1,q65150,Fairbanks
1001,1,q65153,"Kantishna River"
1001,1,q66144,"Charley River"
1001,1,q66147,Circle
1001,1,q66150,Livengood
1001,1,q66153,Tanana
1001,1,h19040104,"Fortymile River"
1001,1,h19040401,"Eagle to Circle"
1001,1,h19040402,"Birch-Beaver Creeks"
1001,1,h19040404,Ramparts
1001,1,h19040503,"Healy Lake"
1001,1,h19040504,"Delta River"
1001,1,h19040505,"Salcha River"
1001,1,h19040506,"Chena River"
1001,1,h19040507,"Tanana Flats"
1001,1,h19040508,"Nenana River"
1001,1,h19040509,"Tolovana River"
1001,1,h19040510,"Kantishna River"
1001,1,h19040511,"Lower Tanana River"
1001,2,2263,"platinum-group elements"
1001,2,2303,fluorite
1002,2,1553,"rare earth elements"
1002,2,470,geophysics
1002,2,18,"aeromagnetic surveying"
1002,2,19,"aeroradiometric surveying"
1002,4,2,"Sedimentary rock"
1002,4,2.5,Phosphorite
1002,2,1454,fluorine
1002,2,1581,strontium
1002,2,1569,scandium
1002,2,1499,manganese
1002,2,1433,cobalt
1002,2,1520,nickel
1002,2,745,"mineral resources"
1002,2,2093,"study areas"
1002,1,f05005,Baxter
1002,1,f05009,Boone
1002,1,f05015,Carroll
1002,1,f05047,Franklin
1002,1,f05063,Independence
1002,1,f05065,Izard
1002,1,f05071,Johnson
1002,1,f05075,Lawrence
1002,1,f05087,Madison
1002,1,f05089,Marion
1002,1,f05101,Newton
1002,1,f05115,Pope
1002,1,f05129,Searcy
1002,1,f05135,Sharp
1002,1,f05137,Stone
1002,1,f05141,"Van Buren"
1002,1,q36092,Memphis
1002,1,q36094,Russellville
1002,1,q37092,"Poplar Bluff"
