pid,program
1001,Geophysics
1001,"Magnetic and Radiometric"
1002,Geophysics
1002,"Magnetic and Radiometric"
1003,Geophysics
1003,"Magnetic and Radiometric"
1004,Geophysics
1004,"Magnetic and Radiometric"
1005,Geophysics
1005,"Magnetic and Radiometric"
1006,Geophysics
1006,"Magnetic and Radiometric"
1007,Geophysics
1007,"Magnetic and Radiometric"
1010,Geophysics
1010,"Magnetic and Radiometric"
1011,Geophysics
1011,"Magnetic and Radiometric"
1012,Geophysics
1012,"Magnetic and Radiometric"
1013,Geophysics
1013,"Magnetic and Radiometric"
1014,Geophysics
1014,"Magnetic and Radiometric"
1015,Geophysics
1015,"Magnetic and Radiometric"
1016,Geophysics
1016,"Magnetic and Radiometric"
1017,Geophysics
1017,"Magnetic and Radiometric"
1019,Geophysics
1019,"Magnetic and Radiometric"
1020,Geophysics
1020,"Magnetic and Radiometric"
1021,Geophysics
1021,"Magnetic and Radiometric"
1022,Geophysics
1022,"Magnetic and Radiometric"
1023,Geophysics
1023,"Magnetic and Radiometric"
1024,Geophysics
1024,"Magnetic and Radiometric"
1025,Geophysics
1025,"Magnetic and Radiometric"
1026,Geophysics
1026,"Magnetic and Radiometric"
1027,Geophysics
1027,"Magnetic and Radiometric"
1028,Geophysics
1028,"Magnetic and Radiometric"
1029,Geophysics
1029,"Magnetic and Radiometric"
1030,Geophysics
1030,Electromagnetic
1031,Geophysics
1031,Electromagnetic
1032,Geophysics
1032,Electromagnetic
1033,Geophysics
1033,"Magnetic and Radiometric"
1034,Geophysics
1034,"Magnetic and Radiometric"
1035,Geophysics
1035,"Magnetic and Radiometric"
1036,Geophysics
1036,"Magnetic and Radiometric"
1037,Geophysics
1037,"Magnetic and Radiometric"
1038,Geophysics
1038,"Magnetic and Radiometric"
1039,Geophysics
1039,"Magnetic and Radiometric"
1040,Geophysics
1040,"Magnetic and Radiometric"
1041,Geophysics
1041,Electromagnetic
1042,Geophysics
1042,"Magnetic and Radiometric"
1043,Geophysics
1043,"Magnetic and Radiometric"
1044,Geophysics
1044,"Magnetic and Radiometric"
1045,Geophysics
1045,"Magnetic and Radiometric"
1046,Geophysics
1046,"Magnetic and Radiometric"
1047,Geophysics
1047,"Magnetic and Radiometric"
1048,Geophysics
1048,"Magnetic and Radiometric"
1049,Geophysics
1049,"Magnetic and Radiometric"
1050,Geophysics
1050,"Magnetic and Radiometric"
1051,Geophysics
1051,Electromagnetic
1052,Geophysics
1052,"Magnetic and Radiometric"
1053,Geophysics
1053,"Magnetic and Radiometric"
1054,Geophysics
1054,"Magnetic and Radiometric"
1055,Geophysics
1055,"Magnetic and Radiometric"
1056,Geophysics
1056,"Magnetic and Radiometric"
1057,Geophysics
1057,"Magnetic and Radiometric"
1058,Geophysics
1058,"Magnetic and Radiometric"
1059,Geophysics
1059,"Magnetic and Radiometric"
1060,Geophysics
1060,"Magnetic and Radiometric"
1061,Geophysics
1061,"Magnetic and Radiometric"
1062,Geophysics
1062,Electromagnetic
1063,Geophysics
1063,Electromagnetic
1064,Geophysics
1064,"Magnetic and Radiometric"
1065,Geophysics
1065,Electromagnetic
1066,Geophysics
1066,Electromagnetic
1067,Geophysics
1067,"Magnetic and Radiometric"
1068,Geophysics
1068,"Magnetic and Radiometric"
5001,"Geologic mapping"
5001,geochemistry
5003,"Geologic mapping"
5003,geochemistry
5004,"Geologic mapping"
5004,geochemistry
5005,"Geologic mapping"
5005,geochemistry
5006,"Geologic mapping"
5006,geochemistry
5007,"Geologic mapping"
5007,geochemistry
5008,"Geologic mapping"
5008,geochemistry
5009,"Geologic mapping"
5009,geochemistry
5010,"Geologic mapping"
5010,geochemistry
5011,"Geologic mapping"
5011,geochemistry
5012,"Geologic mapping"
5012,geochemistry
5013,"Geologic mapping"
5013,geochemistry
5014,"Geologic mapping"
5014,geochemistry
5015,"Geologic mapping"
5015,geochemistry
5020,"Geologic mapping"
5020,geochemistry
5021,"Geologic mapping"
5021,geochemistry
5022,"Geologic mapping"
5022,geochemistry
5023,"Geologic mapping"
5023,geochemistry
5024,"Geologic mapping"
5024,geochemistry
5025,"Geologic mapping"
5025,geochemistry
5026,"Geologic mapping"
5026,geochemistry
5027,"Geologic mapping"
5027,geochemistry
5028,"Geologic mapping"
5028,geochemistry
5029,"Geologic mapping"
5029,geochemistry
5030,"Geologic mapping"
5030,geochemistry
5031,"Geologic mapping"
5031,geochemistry
5032,"Geologic mapping"
5032,geochemistry
5033,"Geologic mapping"
5033,geochemistry
5034,"Geologic mapping"
5034,geochemistry
5035,"Geologic mapping"
5035,geochemistry
5036,"Geologic mapping"
5036,geochemistry
5037,"Geologic mapping"
5037,geochemistry
5038,"Geologic mapping"
5038,"3D geological model"
5038,geochemistry
5039,"Geologic mapping"
5039,geochemistry
5040,"Geologic mapping"
5040,geochemistry
5041,"Geologic mapping"
5041,geochemistry
5042,"Geologic mapping"
5042,geochemistry
5043,"Geologic mapping"
5043,geochemistry
5044,"Geologic mapping"
5044,geochemistry
5045,"Geologic mapping"
5045,geochemistry
5046,"Geologic mapping"
5046,geochemistry
5047,"Geologic mapping"
5047,geochemistry
5048,"Geologic mapping"
5048,geochemistry
5049,"Geologic mapping"
5049,geochemistry
5050,"Geologic mapping"
5050,geochemistry
5051,"Geologic mapping"
5051,geochemistry
5052,"Geologic mapping"
5052,geochemistry
5053,"Geologic mapping"
5053,geochemistry
5054,"Geologic mapping"
5054,geochemistry
5055,"Geologic mapping"
5055,geochemistry
5056,"Geologic mapping"
5056,geochemistry
5057,"Geologic mapping"
5057,geochemistry
5058,"Geologic mapping"
5058,geochemistry
5059,"Geologic mapping"
5059,geochemistry
5060,"Geologic mapping"
5060,geochemistry
5061,"Geologic mapping"
5061,geochemistry
5062,"Geologic mapping"
5062,geochemistry
5063,"Geologic mapping"
5063,geochemistry
5064,"Geologic mapping"
5064,geochemistry
5065,"Geologic mapping"
5065,geochemistry
5066,"Geologic mapping"
5066,geochemistry
5067,"Geologic mapping"
5067,geochemistry
5068,"Geologic mapping"
5068,geochemistry
10001,Lidar
10002,Lidar
10003,Lidar
10004,Lidar
10005,Lidar
10010,Lidar
10011,Lidar
10012,Lidar
10013,Lidar
10014,Lidar
10015,Lidar
10016,Lidar
10017,Lidar
10018,Lidar
10019,Lidar
10020,Lidar
10021,Lidar
10022,Lidar
10023,Lidar
10024,Lidar
10025,Lidar
10026,Lidar
20001,"Reconnaissance geochemistry"
20002,"Reconnaissance geochemistry"
20003,"Reconnaissance geochemistry"
20004,"Reconnaissance geochemistry"
20005,"Reconnaissance geochemistry"
20031,"Reconnaissance geochemistry"
20032,"Reconnaissance geochemistry"
20033,"Reconnaissance geochemistry"
20034,"Reconnaissance geochemistry"
20035,"Reconnaissance geochemistry"
20036,"Reconnaissance geochemistry"
20037,"Reconnaissance geochemistry"
20038,"Reconnaissance geochemistry"
20039,"Reconnaissance geochemistry"
20040,"Reconnaissance geochemistry"
20041,"Reconnaissance geochemistry"
20042,"Reconnaissance geochemistry"
30001,"3D geological model"
30001,geochemistry
30002,"3D geological model"
30002,geochemistry
40001,"Mine waste"
40002,"Mine waste"
40003,"Mine waste"
40004,"Mine waste"
40005,"Mine waste"
40006,"Mine waste"
40007,"Mine waste"
40008,"Mine waste"
40009,"Mine waste"
40010,"Mine waste"
50001,Hyperspectral
50002,Hyperspectral
50003,Hyperspectral
50004,Hyperspectral
