pid,cid
1001,75
1002,76
1003,76
1004,77
1005,77
1006,76
1007,78
1010,79
1011,76
1012,77
1013,75
1014,80
1015,81
1016,136
1017,79
1019,77
1020,135
1020,179
1021,79
1022,75
1023,77
1023,84
1024,77
1025,85
1026,86
1026,135
1027,79
1028,79
1029,87
1029,88
1030,89
1031,89
1031,90
1032,89
1032,91
1033,76
1034,80
1035,136
1036,144
1037,85
1038,76
1039,80
1040,135
1041,89
1041,90
1042,135
1043,81
1044,77
1045,77
1046,77
1047,79
1048,79
1049,77
1050,76
1051,89
1052,79
1053,144
1054,80
1055,85
1056,135
1057,79
1058,79
1059,193
1060,194
1061,81
1062,89
1063,89
1064,80
1065,90
1066,90
1067,77
1068,77
5001,92
5001,138
5003,93
5004,94
5005,95
5006,96
5007,97
5008,98
5009,99
5010,100
5011,101
5012,102
5013,103
5014,127
5015,105
5020,106
5021,107
5022,108
5023,109
5024,140
5025,111
5025,195
5026,112
5027,103
5028,113
5029,114
5030,86
5031,115
5032,106
5033,116
5034,117
5035,96
5036,118
5036,119
5036,120
5037,121
5037,122
5037,123
5038,124
5039,126
5039,180
5040,127
5041,105
5042,181
5043,129
5044,138
5045,108
5046,96
5047,147
5048,111
5048,195
5049,140
5050,100
5051,148
5052,98
5052,134
5052,149
5053,112
5054,150
5055,151
5056,127
5057,152
5058,138
5059,103
5060,175
5061,128
5061,181
5062,96
5063,182
5064,183
5065,184
5065,185
5066,186
5067,116
5068,112
10001,82
10002,82
10003,82
10004,82
10005,82
10010,82
10011,82
10012,82
10013,82
10014,82
10015,82
10016,82
10017,82
10018,82
10019,82
10020,82
10021,82
10022,82
10023,82
10024,82
10025,82
10026,82
20001,98
20002,130
20003,131
20004,132
20005,106
20031,187
20032,131
20033,103
20033,153
20033,154
20033,155
20033,157
20033,188
20034,141
20035,158
20036,86
20037,159
20037,160
20038,103
20038,176
20039,131
20039,189
20040,177
20041,190
20041,191
20042,192
30001,132
30002,98
30002,134
40001,103
40002,161
40003,162
40004,133
40004,187
40005,171
40006,172
40007,173
40008,174
40009,128
40009,181
40010,178
50001,163
50001,164
50001,165
50002,164
50003,164
50004,163
50004,164
50004,165
