PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,GEOLFROM,GEOLTO,Interval_cm,Ag_ppm,Co_ppm,Cu_ppm,Cu_pct,Fe_pct,Ni_ppm,Pb_ppm,Zn_ppm
Tannenberg Copper Project,,Kuechen,19142,Core,Drill Core,Drillhole,9.8272934,51.19001,-100.5397482,Downhole Survey,505,505.5,50,1,,11,0.001,,,87,68
Tannenberg Copper Project,,Kuechen,19143,Core,Drill Core,Drillhole,9.8272934,51.19001,-101.0397482,Downhole Survey,505.5,506,50,1,,11,0.001,,,128,651
Tannenberg Copper Project,,Kuechen,19144,Core,Drill Core,Drillhole,9.8272934,51.19001,-101.5397482,Downhole Survey,506,506.5,50,1,,11,0.001,,,128,274
Tannenberg Copper Project,,Kuechen,19145,Core,Drill Core,Drillhole,9.8272934,51.19001,-102.0297482,Downhole Survey,506.5,506.98,48.00000000000182,2,,9,0.001,,,117,324
Tannenberg Copper Project,,Kuechen,19146,Core,Drill Core,Drillhole,9.8272934,51.19001,-102.3622482,Downhole Survey,506.98,507.165,18.500000000000227,3,,13,0.001,,,148,646
Tannenberg Copper Project,,Kuechen,19147,Core,Drill Core,Drillhole,9.8272934,51.19001,-102.6622482,Downhole Survey,507.165,507.58,41.49999999999636,3,,11,0.001,,,77,551
Tannenberg Copper Project,,Kuechen,19148,Core,Drill Core,Drillhole,9.8272934,51.19001,-102.9897482,Downhole Survey,507.58,507.82,24.00000000000091,2,,9,0.001,,,138,339
Tannenberg Copper Project,,Kuechen,19149,Core,Drill Core,Drillhole,9.8272934,51.19001,-103.5047482,Downhole Survey,507.82,508.61,79.00000000000205,2,,17,0.002,,,77,1119
Tannenberg Copper Project,,Kuechen,19150,Core,Drill Core,Drillhole,9.8272934,51.19001,-104.0947482,Downhole Survey,508.61,509,38.999999999998636,2,,11,0.001,,,117,329
Tannenberg Copper Project,,Kuechen,19251,Core,Drill Core,Drillhole,9.8272934,51.19001,-104.6047482,Downhole Survey,509,509.63,62.999999999999545,3,,9,0.001,,,87,457
Tannenberg Copper Project,,Kuechen,19252,Core,Drill Core,Drillhole,9.8272934,51.19001,-104.9547482,Downhole Survey,509.63,509.7,6.999999999999318,3,,13,0.001,,,87,685
