PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,GEOLFROM,GEOLTO,Interval_cm,Ag_ppm,Co_ppm,Cu_ppm,Cu_pct,Fe_pct,Ni_ppm,Pb_ppm,Zn_ppm
Tannenberg Copper Project,,Ro23,Ro23-004,Core,Drill Core,Drillhole,,,,,365.48,366,51.99999999999818,21,,20000,2,,,30,50
Tannenberg Copper Project,,Ro23,Ro23-005,Core,Drill Core,Drillhole,,,,,366,366.45,44.99999999999886,17,,8800,0.88,,,50,30
Tannenberg Copper Project,,Ro23,Ro23-006,Core,Drill Core,Drillhole,,,,,366.45,367,55.00000000000114,78,,32000,3.2,,,60,30
Tannenberg Copper Project,,Ro23,Ro23-007,Core,Drill Core,Drillhole,,,,,367,367.49,49.00000000000091,80,,50000,5,,,50,40
Tannenberg Copper Project,,Ro23,Ro23-008,Core,Drill Core,Drillhole,,,,,367.49,367.58,8.999999999997499,12,,9700,0.97,,,60,20
Tannenberg Copper Project,,Ro23_Int,Interval,Core,Drill Core,Drillhole,,,,,365.48,367.58,209.9999999999966,48.4523809523821,,,2.7301428571429067,,,,
Tannenberg Copper Project,,Ro18,Ro18-004,Core,Drill Core,Drillhole,,,,,209.5,210,50,20,30,9000,0.9,,100,7000,11000
Tannenberg Copper Project,,Ro18,Ro18-005,Core,Drill Core,Drillhole,,,,,210,210.25,25,70,130,72000,7.2,,150,300,230
Tannenberg Copper Project,,Ro18,Ro18-006,Core,Drill Core,Drillhole,,,,,210.25,210.53,28.000000000000114,50,325,86000,8.6,,330,80,90
Tannenberg Copper Project,,Ro18,Ro18-007,Core,Drill Core,Drillhole,,,,,210.53,210.76,22.999999999998977,35,130,33000,3.3,,65,50,280
Tannenberg Copper Project,,Ro18,Ro18-008,Core,Drill Core,Drillhole,,,,,210.76,211,24.00000000000091,-2,160,3000,0.3,,5,20,60
Tannenberg Copper Project,,Ro18_Int,Interval,Core,Drill Core,Drillhole,,,,,209.5,211,150,32.71333333333312,,,3.659333333333319,,,,
Tannenberg Copper Project,,Ro19,Ro19-008,Core,Drill Core,Drillhole,,,,,339.5,339.71,20.999999999997954,80,600,76000,7.6,,250,450,600
Tannenberg Copper Project,,Ro19,Ro19-009,Core,Drill Core,Drillhole,,,,,339.71,340,29.000000000002046,30,100,25000,2.5,,70,150,320
Tannenberg Copper Project,,Ro19,Ro19-010,Core,Drill Core,Drillhole,,,,,340,340.5,50,15,-5,15000,1.5,,5,30,180
Tannenberg Copper Project,,Ro19,Ro19-011,Core,Drill Core,Drillhole,,,,,340.5,341,50,10,-5,10000,1,,-5,30,60
Tannenberg Copper Project,,Ro19,Ro19-012,Core,Drill Core,Drillhole,,,,,341,341.5,50,10,-5,13000,1.3,,-5,20,40
Tannenberg Copper Project,,Ro19,Ro19-013,Core,Drill Core,Drillhole,,,,,341.5,342,50,10,-5,4300,0.43,,-5,10,30
Tannenberg Copper Project,,Ro19_Int,Interval,Core,Drill Core,Drillhole,,,,,339.5,342,250,19.199999999999594,,,1.7743999999999582,,,,
Tannenberg Copper Project,,Ro22,Ro22-001,Core,Drill Core,Drillhole,,,,,436.26,436.76,50,10,,6700,0.67,,,50,40
Tannenberg Copper Project,,Ro22,Ro22-002,Core,Drill Core,Drillhole,,,,,436.76,437.26,50,9,,7000,0.7,,,50,30
Tannenberg Copper Project,,Ro22,Ro22-003,Core,Drill Core,Drillhole,,,,,437.26,437.76,50,8,,5900,0.59,,,50,50
Tannenberg Copper Project,,Ro22,Ro22-004,Core,Drill Core,Drillhole,,,,,437.76,438.26,50,7,,10000,1,,,40,50
Tannenberg Copper Project,,Ro22,Ro22-005,Core,Drill Core,Drillhole,,,,,438.26,438.76,50,-2,,3700,0.37,,,40,40
Tannenberg Copper Project,,Ro22,Ro22-006,Core,Drill Core,Drillhole,,,,,438.76,438.9,13.999999999998636,160,,105000,10.5,,,50,80
Tannenberg Copper Project,,Ro22,Ro22-007,Core,Drill Core,Drillhole,,,,,438.9,438.95,5.000000000001137,58,,41000,4.1,,,40,30
Tannenberg Copper Project,,Ro22,Ro22-008,Core,Drill Core,Drillhole,,,,,438.95,439.1,15.00000000000341,20,,15000,1.5,,,20,20
Tannenberg Copper Project,,Ro22,Ro22-009,Core,Drill Core,Drillhole,,,,,439.1,439.4,29.999999999995453,6,,5400,0.54,,,30,40
Tannenberg Copper Project,,Ro22_Int,Interval,Core,Drill Core,Drillhole,,,,,436.26,439.4,313.99999999999864,14.68152866242009,,,1.1869426751592185,,,,
Tannenberg Copper Project,,Ro15,16801,Core,Drill Core,Drillhole,,,,,285.857,286.018,16.099999999994452,10,61,5315,0.532,0.82,71,60,31
Tannenberg Copper Project,,Ro15,16800,Core,Drill Core,Drillhole,,,,,286.018,286.068,5.000000000001137,15,46,8457,0.846,1.1,76,41,41
Tannenberg Copper Project,,Ro15,16799,Core,Drill Core,Drillhole,,,,,286.068,286.243,17.500000000001137,13,46,7200,0.72,0.96,76,41,38
Tannenberg Copper Project,,Ro15,16798,Core,Drill Core,Drillhole,,,,,286.243,286.288,4.500000000001592,16,46,9194,0.919,1.5,80,34,51
Tannenberg Copper Project,,Ro15,16797,Core,Drill Core,Drillhole,,,,,286.288,286.388,9.99999999999659,12,51,6377,0.638,0.99,71,41,37
Tannenberg Copper Project,,Ro15,16796,Core,Drill Core,Drillhole,,,,,286.388,286.438,5.000000000001137,13,46,6810,0.681,1.28,76,41,48
Tannenberg Copper Project,,Ro15,16795,Core,Drill Core,Drillhole,,,,,286.438,286.532,9.399999999999409,12,51,5900,0.59,1.03,71,34,42
Tannenberg Copper Project,,Ro15,16794,Core,Drill Core,Drillhole,,,,,286.532,286.619,8.700000000004593,11,46,5619,0.562,1.1,71,41,47
Tannenberg Copper Project,,Ro15,16793,Core,Drill Core,Drillhole,,,,,286.619,286.695,7.5999999999964984,12,46,6399,0.64,1.14,71,34,49
Tannenberg Copper Project,,Ro15,16792,Core,Drill Core,Drillhole,,,,,286.695,286.812,11.700000000001864,13,46,7070,0.707,1.28,76,34,55
Tannenberg Copper Project,,Ro15,16791,Core,Drill Core,Drillhole,,,,,286.812,286.942,12.999999999999545,13,41,8110,0.811,1.61,85,34,65
Tannenberg Copper Project,,Ro15,16790,Core,Drill Core,Drillhole,,,,,286.942,287.043,10.099999999999909,11,41,7374,0.737,1.46,76,34,58
Tannenberg Copper Project,,Ro15,16789,Core,Drill Core,Drillhole,,,,,287.043,287.17,12.700000000000955,21,46,15998,1.6,1.5,89,41,71
