fid,HoleID,From,To,SampleID,Length_mm,Cu_pc,mid_x,mid_y,mid_z,PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,SF_Observe,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,SurvInstr,SampleDate,SAMPLEDBY,Lith1,Lith2,LT_Color1,LT_Color2,Lith_Desc,Alt_Assbl1,Alt1,Alt2,Alt3,Alt_Desc,MN_Miner_1,MN_Miner_2,MN_Miner_3,Min_Desc,Lab_L_D,Dsptch_L_D,SmpDspDate,Labjobno,SmpRetDate,AnalysisLD,GenerMeth,SampWt_g_D,RecvdWt_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD
1,Ro15,283.9,284.04,16819,14,0.013,4348595.4,5647200.43,-12.59314485,Tannenberg Copper Project,,Ro15,16819,Core,Drill Core,Drillhole,,9.8443325,50.940173,-12.59314485,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,56,,,,130,,,,0.94,,,,71,,,,34,,,,41,,,
2,Ro15,284.37,284.5,16816,13,0.023,4348595.4,5647200.43,-13.05814485,Tannenberg Copper Project,,Ro15,16816,Core,Drill Core,Drillhole,,9.8443325,50.940173,-13.05814485,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,61,,,,228,,,,0.84,,,,67,,,,34,,,,35,,,
3,Ro17,477.94,478,,60,0.027,4348766.65,5646242.45,-173.1567081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.1567081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,269,,,,,,,,,,,,83,,,,37,,,
4,Ro17,478,478.13,,130,0.048,4348766.65,5646242.45,-173.2517081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.2517081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,480,,,,,,,,,,,,71,,,,37,,,
5,Ro17,478.48,478.56,,80,0.022,4348766.65,5646242.45,-173.7067081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.7067081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,220,,,,,,,,,,,,60,,,,36,,,
6,Ro17,478.56,478.63,,70,0.031,4348766.65,5646242.45,-173.7817081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.7817081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,308,,,,,,,,,,,,60,,,,41,,,
7,Ro17,478.63,478.75,,120,0.032,4348766.65,5646242.45,-173.8767081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.8767081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,322,,,,,,,,,,,,60,,,,38,,,
8,Ro17,478.75,478.8,,50,0.035,4348766.65,5646242.45,-173.9617081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.9617081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,349,,,,,,,,,,,,60,,,,40,,,
9,Ro17,478.8,478.9,,100,0.037,4348766.65,5646242.45,-174.0367081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.0367081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,372,,,,,,,,,,,,60,,,,47,,,
10,Ro17,478.9,479,,100,0.055,4348766.65,5646242.45,-174.1367081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.1367081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,549,,,,,,,,,,,,83,,,,48,,,
11,Ro17,479.61,479.71,,100,0.069,4348766.65,5646242.45,-174.8467081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.8467081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,687,,,,,,,,,,,,60,,,,78,,,
12,Ro17,480,480.11,,110,0.018,4348766.65,5646242.45,-175.2417081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.2417081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,179,,,,,,,,,,,,60,,,,75,,,
13,Ro17,480.8,480.89,,90,0.021,4348766.65,5646242.45,-176.0317081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.0317081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,209,,,,,,,,,,,,80,,,,127,,,
14,Ro17,480.89,481,,110,0.027,4348766.65,5646242.45,-176.1317081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.1317081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,273,,,,,,,,,,,,92,,,,184,,,
15,Ro17,482.05,482.06,,10,2.441,4348766.65,5646242.45,-177.2417081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-177.2417081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,24409,,,,,,,,,,,,105,,,,167,,,
16,Ro17,483.94,483.98,,40,0.002,4348766.65,5646242.45,-179.1467081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-179.1467081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,16,,,,,,,,,,,,55,,,,17,,,
17,Ro17,483.98,484.18,,200,0.002,4348766.65,5646242.45,-179.2667081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-179.2667081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,18,,,,,,,,,,,,43,,,,20,,,
18,Ro16,402.09,402.13,17834,40,0.024,4348603.83,5646669.52,-111.3519818,Tannenberg Copper Project,,Ro16,17834,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-111.3519818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,237,,,,,,,,,,,,57,,,,41,,,
19,Ro16,403,403.1,17833,100,0.022,4348603.83,5646669.52,-112.2919818,Tannenberg Copper Project,,Ro16,17833,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.2919818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,219,,,,,,,,,,,,43,,,,40,,,
20,Ro16,403.1,403.16,17832,60,0.029,4348603.83,5646669.52,-112.3719818,Tannenberg Copper Project,,Ro16,17832,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.3719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,289,,,,,,,,,,,,57,,,,35,,,
21,Ro16,403.16,403.21,17831,50,0.341,4348603.83,5646669.52,-112.4269818,Tannenberg Copper Project,,Ro16,17831,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.4269818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,3406,,,,,,,,,,,,540,,,,43,,,
22,Ro16,403.21,403.3,17830,90,0.074,4348603.83,5646669.52,-112.4969818,Tannenberg Copper Project,,Ro16,17830,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.4969818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,737,,,,,,,,,,,,57,,,,39,,,
