BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01284,0.84,0.84,-,-,-,-,-,-,-,-,-,-,<2,2.16,10,155,0.6,<5,>15,2,4,19,9.5,1.42,0.75,8.7,34,3.62,2912,<1,0.20,13,0.02,162,>5,<5,2.9,<10,897,0.08,25,<10,6.0,517,24.9,-,-,-,-
PAL01285,0.75,0.75,-,-,-,-,-,-,-,-,-,-,<2,2.02,9,136,0.6,<5,>15,<1,3,17,6.4,1.36,0.65,11.7,32,2.95,3422,<1,0.26,13,0.02,59,0.44,<5,3.0,<10,255,0.07,23,<10,10.1,113,25.7,-,-,-,-
PAL01286,1.15,1.15,500.0,77.20,22.80,386.0,114.0,20.0,85.00,15.00,17.0,3.0,<2,2.97,11,191,0.9,<5,>15,<1,5,23,11.4,0.91,1.04,13.3,41,0.62,1833,<1,0.29,14,0.03,100,0.49,<5,4.0,<10,357,0.11,28,<10,8.7,179,33.6,-,-,-,-
PAL01287,1.18,1.18,-,-,-,-,-,-,-,-,-,-,<2,3.01,7,188,1.0,<5,>15,<1,5,23,8.6,1.18,1.09,12.8,45,0.54,1824,<1,0.26,15,0.03,52,0.60,<5,4.3,<10,1129,0.11,30,<10,9.2,28,30.2,-,-,-,-
*DUP-PAL01287,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.97,7,184,1.0,<5,>15,<1,5,22,8.8,1.15,1.07,12.7,43,0.54,1791,<1,0.25,13,0.03,52,0.57,<5,4.2,<10,1096,0.11,27,<10,9.2,28,30.3,-,-,-,-
PAL01288,1.05,1.05,-,-,-,-,-,-,-,-,-,-,<2,4.11,7,216,1.3,<5,>15,<1,7,29,8.8,1.42,1.39,18.8,51,0.56,1574,<1,0.47,17,0.03,31,0.44,<5,5.6,<10,1430,0.17,39,<10,12.3,17,53.2,-,-,-,-
PAL01289,1.11,1.11,-,-,-,-,-,-,-,-,-,-,<2,4.49,10,203,1.5,<5,>15,<1,7,33,13.4,1.61,1.59,19.0,58,0.65,1523,<1,0.44,25,0.03,105,0.39,5,6.1,<10,1385,0.17,44,<10,13.0,57,48.9,-,-,-,-
PAL01290,1.06,1.06,-,-,-,-,-,-,-,-,-,-,<2,6.12,11,174,2.1,<5,>15,<1,9,37,15.1,1.95,2.08,25.9,74,0.78,1480,<1,0.59,27,0.04,164,0.32,<5,8.2,<10,305,0.22,50,<10,16.6,46,69.5,-,-,-,-
PAL01291,1.04,1.04,-,-,-,-,-,-,-,-,-,-,<2,7.62,5,270,2.4,<5,9.36,<1,6,63,76.2,2.39,2.61,35.1,86,2.00,1663,<1,0.78,25,0.05,133,0.18,5,10.1,<10,189,0.30,74,<10,18.4,32,97.2,-,-,-,-
PAL01292,0.49,0.49,-,-,-,-,-,-,-,-,-,-,<2,7.30,12,646,2.0,<5,5.91,<1,10,43,9.7,2.86,2.43,31.8,74,3.15,1711,1,0.80,25,0.05,156,1.06,6,9.5,<10,192,0.27,66,<10,14.3,25,94.4,-,-,-,-
