PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Zn_pct,Zn_pct_GMD,Zn_pct_LDD,Zn_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01384,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,2.02,2.02,2.02,,,,,,,,,,,<2,ICP40B,2,10,2.71,ICP40B,0.01,15,10,ICP40B,3,10000,154,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,16,ICP40B,1,10000,8.5,ICP40B,0.5,10000,1.33,ICP40B,0.01,15,1.09,ICP40B,0.01,15,11.7,ICP40B,0.5,10000,42,ICP40B,1,10000,0.79,ICP40B,0.01,15,1652,ICP40B,2,10000,<1,ICP40B,1,10000,0.43,ICP40B,0.01,15,24,ICP40B,1,10000,0.03,ICP40B,0.01,15,89,ICP40B,2,10000,1.06,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,1309,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,26,ICP40B,2,10000,<10,ICP40B,10,10000,8.0,ICP40B,0.5,10000,181,ICP40B,1,10000,30.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01384,2.02,2.02,-,-,-,-,-,-,-,-,-,-,<2,2.71,10,154,1.0,<5,>15,<1,5,16,8.5,1.33,1.09,11.7,42,0.79,1652,<1,0.43,24,0.03,89,1.06,<5,4.0,<10,1309,0.11,26,<10,8.0,181,30.1,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01385,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,2.32,2.32,2.32,,,,,,,,,,,<2,ICP40B,2,10,2.46,ICP40B,0.01,15,6,ICP40B,3,10000,377,ICP40B,1,10000,0.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,18,ICP40B,1,10000,7.7,ICP40B,0.5,10000,0.91,ICP40B,0.01,15,1.02,ICP40B,0.01,15,11.3,ICP40B,0.5,10000,42,ICP40B,1,10000,0.65,ICP40B,0.01,15,1673,ICP40B,2,10000,<1,ICP40B,1,10000,0.30,ICP40B,0.01,15,18,ICP40B,1,10000,0.03,ICP40B,0.01,15,99,ICP40B,2,10000,0.37,ICP40B,0.01,5,<5,ICP40B,5,10000,3.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,2903,ICP40B,0.5,5000,0.10,ICP40B,0.01,15,25,ICP40B,2,10000,<10,ICP40B,10,10000,8.3,ICP40B,0.5,10000,90,ICP40B,1,10000,26.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01385,2.32,2.32,-,-,-,-,-,-,-,-,-,-,<2,2.46,6,377,0.9,<5,>15,<1,4,18,7.7,0.91,1.02,11.3,42,0.65,1673,<1,0.30,18,0.03,99,0.37,<5,3.8,<10,2903,0.10,25,<10,8.3,90,26.0,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01386,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,2.09,2.09,2.09,,,,,,,,,,,<2,ICP40B,2,10,3.59,ICP40B,0.01,15,8,ICP40B,3,10000,303,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,22,ICP40B,1,10000,12.2,ICP40B,0.5,10000,1.26,ICP40B,0.01,15,1.38,ICP40B,0.01,15,17.0,ICP40B,0.5,10000,54,ICP40B,1,10000,0.73,ICP40B,0.01,15,1537,ICP40B,2,10000,<1,ICP40B,1,10000,0.52,ICP40B,0.01,15,26,ICP40B,1,10000,0.03,ICP40B,0.01,15,103,ICP40B,2,10000,0.32,ICP40B,0.01,5,<5,ICP40B,5,10000,5.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,2239,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,36,ICP40B,2,10000,<10,ICP40B,10,10000,11.6,ICP40B,0.5,10000,60,ICP40B,1,10000,43.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01386,2.09,2.09,-,-,-,-,-,-,-,-,-,-,<2,3.59,8,303,1.2,<5,>15,<1,7,22,12.2,1.26,1.38,17.0,54,0.73,1537,<1,0.52,26,0.03,103,0.32,<5,5.3,<10,2239,0.15,36,<10,11.6,60,43.2,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01387,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,1.94,1.94,1.94,,,,,,,,,,,<2,ICP40B,2,10,3.96,ICP40B,0.01,15,9,ICP40B,3,10000,152,ICP40B,1,10000,1.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,31,ICP40B,1,10000,8.4,ICP40B,0.5,10000,1.39,ICP40B,0.01,15,1.64,ICP40B,0.01,15,16.9,ICP40B,0.5,10000,64,ICP40B,1,10000,0.76,ICP40B,0.01,15,1407,ICP40B,2,10000,<1,ICP40B,1,10000,0.48,ICP40B,0.01,15,31,ICP40B,1,10000,0.03,ICP40B,0.01,15,139,ICP40B,2,10000,0.33,ICP40B,0.01,5,<5,ICP40B,5,10000,6.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,576,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,40,ICP40B,2,10000,<10,ICP40B,10,10000,11.8,ICP40B,0.5,10000,45,ICP40B,1,10000,42.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01387,1.94,1.94,-,-,-,-,-,-,-,-,-,-,<2,3.96,9,152,1.4,<5,>15,<1,7,31,8.4,1.39,1.64,16.9,64,0.76,1407,<1,0.48,31,0.03,139,0.33,<5,6.0,<10,576,0.16,40,<10,11.8,45,42.3,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,*DUP-PAL01387,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,3.94,ICP40B,0.01,15,9,ICP40B,3,10000,150,ICP40B,1,10000,1.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,28,ICP40B,1,10000,8.7,ICP40B,0.5,10000,1.38,ICP40B,0.01,15,1.61,ICP40B,0.01,15,16.7,ICP40B,0.5,10000,63,ICP40B,1,10000,0.75,ICP40B,0.01,15,1385,ICP40B,2,10000,<1,ICP40B,1,10000,0.47,ICP40B,0.01,15,31,ICP40B,1,10000,0.03,ICP40B,0.01,15,118,ICP40B,2,10000,0.32,ICP40B,0.01,5,<5,ICP40B,5,10000,6.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,573,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,39,ICP40B,2,10000,<10,ICP40B,10,10000,11.7,ICP40B,0.5,10000,46,ICP40B,1,10000,41.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,*DUP-PAL01387,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.94,9,150,1.4,<5,>15,<1,6,28,8.7,1.38,1.61,16.7,63,0.75,1385,<1,0.47,31,0.03,118,0.32,<5,6.0,<10,573,0.16,39,<10,11.7,46,41.6,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01388,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,1.63,1.63,1.63,,,,,,,,,,,<2,ICP40B,2,10,4.89,ICP40B,0.01,15,7,ICP40B,3,10000,147,ICP40B,1,10000,1.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,35,ICP40B,1,10000,8.7,ICP40B,0.5,10000,1.51,ICP40B,0.01,15,2.03,ICP40B,0.01,15,19.8,ICP40B,0.5,10000,75,ICP40B,1,10000,0.81,ICP40B,0.01,15,1432,ICP40B,2,10000,<1,ICP40B,1,10000,0.58,ICP40B,0.01,15,32,ICP40B,1,10000,0.04,ICP40B,0.01,15,89,ICP40B,2,10000,0.23,ICP40B,0.01,5,<5,ICP40B,5,10000,7.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,270,ICP40B,0.5,5000,0.19,ICP40B,0.01,15,46,ICP40B,2,10000,<10,ICP40B,10,10000,14.0,ICP40B,0.5,10000,44,ICP40B,1,10000,51.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01388,1.63,1.63,-,-,-,-,-,-,-,-,-,-,<2,4.89,7,147,1.6,<5,>15,<1,7,35,8.7,1.51,2.03,19.8,75,0.81,1432,<1,0.58,32,0.04,89,0.23,<5,7.3,<10,270,0.19,46,<10,14.0,44,51.8,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01389,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,0.46,0.46,0.46,,,,,,,,,,,<2,ICP40B,2,10,6.17,ICP40B,0.01,15,12,ICP40B,3,10000,184,ICP40B,1,10000,2.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,45,ICP40B,1,10000,5.5,ICP40B,0.5,10000,1.91,ICP40B,0.01,15,2.44,ICP40B,0.01,15,27.3,ICP40B,0.5,10000,89,ICP40B,1,10000,0.95,ICP40B,0.01,15,1612,ICP40B,2,10000,<1,ICP40B,1,10000,0.79,ICP40B,0.01,15,38,ICP40B,1,10000,0.04,ICP40B,0.01,15,200,ICP40B,2,10000,0.36,ICP40B,0.01,5,5,ICP40B,5,10000,9.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,271,ICP40B,0.5,5000,0.24,ICP40B,0.01,15,57,ICP40B,2,10000,<10,ICP40B,10,10000,17.9,ICP40B,0.5,10000,71,ICP40B,1,10000,68.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01389,0.46,0.46,-,-,-,-,-,-,-,-,-,-,<2,6.17,12,184,2.2,<5,>15,<1,9,45,5.5,1.91,2.44,27.3,89,0.95,1612,<1,0.79,38,0.04,200,0.36,5,9.1,<10,271,0.24,57,<10,17.9,71,68.4,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01390,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,0.66,0.66,0.66,,,,,,,,,,,<2,ICP40B,2,10,7.26,ICP40B,0.01,15,6,ICP40B,3,10000,430,ICP40B,1,10000,2.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,7.79,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,53,ICP40B,1,10000,116,ICP40B,0.5,10000,2.82,ICP40B,0.01,15,2.87,ICP40B,0.01,15,29.8,ICP40B,0.5,10000,97,ICP40B,1,10000,3.82,ICP40B,0.01,15,1837,ICP40B,2,10000,<1,ICP40B,1,10000,0.92,ICP40B,0.01,15,42,ICP40B,1,10000,0.06,ICP40B,0.01,15,83,ICP40B,2,10000,0.19,ICP40B,0.01,5,7,ICP40B,5,10000,10.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,654,ICP40B,0.5,5000,0.28,ICP40B,0.01,15,69,ICP40B,2,10000,<10,ICP40B,10,10000,15.7,ICP40B,0.5,10000,42,ICP40B,1,10000,83.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01390,0.66,0.66,-,-,-,-,-,-,-,-,-,-,<2,7.26,6,430,2.4,<5,7.79,<1,7,53,116,2.82,2.87,29.8,97,3.82,1837,<1,0.92,42,0.06,83,0.19,7,10.5,<10,654,0.28,69,<10,15.7,42,83.9,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01391,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,0.48,0.48,0.48,500.0,75.60,24.40,378.0,122.0,20.0,85.00,15.00,17.0,3.0,<2,ICP40B,2,10,6.83,ICP40B,0.01,15,8,ICP40B,3,10000,562,ICP40B,1,10000,2.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,7.13,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,48,ICP40B,1,10000,127,ICP40B,0.5,10000,2.46,ICP40B,0.01,15,2.66,ICP40B,0.01,15,29.7,ICP40B,0.5,10000,86,ICP40B,1,10000,3.62,ICP40B,0.01,15,2345,ICP40B,2,10000,<1,ICP40B,1,10000,0.95,ICP40B,0.01,15,33,ICP40B,1,10000,0.05,ICP40B,0.01,15,84,ICP40B,2,10000,0.42,ICP40B,0.01,5,<5,ICP40B,5,10000,9.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,964,ICP40B,0.5,5000,0.27,ICP40B,0.01,15,62,ICP40B,2,10000,<10,ICP40B,10,10000,14.7,ICP40B,0.5,10000,35,ICP40B,1,10000,86.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01391,0.48,0.48,500.0,75.60,24.40,378.0,122.0,20.0,85.00,15.00,17.0,3.0,<2,6.83,8,562,2.2,<5,7.13,<1,6,48,127,2.46,2.66,29.7,86,3.62,2345,<1,0.95,33,0.05,84,0.42,<5,9.7,<10,964,0.27,62,<10,14.7,35,86.2,-,-,-
Tannenberg,TR2502685,08-Nov-25,14-Nov-25,,PAL01392,Core,Drill Core,Drillhole,TR2502685     136             384,08-Nov-25,14-Nov-25,TR2502685,TR2502685     136             384,,0.66,0.66,0.66,,,,,,,,,,,<2,ICP40B,2,10,6.76,ICP40B,0.01,15,12,ICP40B,3,10000,752,ICP40B,1,10000,2.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,7.78,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,45,ICP40B,1,10000,9.3,ICP40B,0.5,10000,2.84,ICP40B,0.01,15,2.60,ICP40B,0.01,15,29.5,ICP40B,0.5,10000,81,ICP40B,1,10000,3.74,ICP40B,0.01,15,2402,ICP40B,2,10000,<1,ICP40B,1,10000,0.93,ICP40B,0.01,15,35,ICP40B,1,10000,0.05,ICP40B,0.01,15,141,ICP40B,2,10000,1.26,ICP40B,0.01,5,8,ICP40B,5,10000,9.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,1672,ICP40B,0.5,5000,0.27,ICP40B,0.01,15,60,ICP40B,2,10000,<10,ICP40B,10,10000,14.2,ICP40B,0.5,10000,42,ICP40B,1,10000,82.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01392,0.66,0.66,-,-,-,-,-,-,-,-,-,-,<2,6.76,12,752,2.0,<5,7.78,<1,7,45,9.3,2.84,2.60,29.5,81,3.74,2402,<1,0.93,35,0.05,141,1.26,8,9.6,<10,1672,0.27,60,<10,14.2,42,82.3,-,-,-
