BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01384,2.02,2.02,-,-,-,-,-,-,-,-,-,-,<2,2.71,10,154,1.0,<5,>15,<1,5,16,8.5,1.33,1.09,11.7,42,0.79,1652,<1,0.43,24,0.03,89,1.06,<5,4.0,<10,1309,0.11,26,<10,8.0,181,30.1,-,-,-
PAL01385,2.32,2.32,-,-,-,-,-,-,-,-,-,-,<2,2.46,6,377,0.9,<5,>15,<1,4,18,7.7,0.91,1.02,11.3,42,0.65,1673,<1,0.30,18,0.03,99,0.37,<5,3.8,<10,2903,0.10,25,<10,8.3,90,26.0,-,-,-
PAL01386,2.09,2.09,-,-,-,-,-,-,-,-,-,-,<2,3.59,8,303,1.2,<5,>15,<1,7,22,12.2,1.26,1.38,17.0,54,0.73,1537,<1,0.52,26,0.03,103,0.32,<5,5.3,<10,2239,0.15,36,<10,11.6,60,43.2,-,-,-
PAL01387,1.94,1.94,-,-,-,-,-,-,-,-,-,-,<2,3.96,9,152,1.4,<5,>15,<1,7,31,8.4,1.39,1.64,16.9,64,0.76,1407,<1,0.48,31,0.03,139,0.33,<5,6.0,<10,576,0.16,40,<10,11.8,45,42.3,-,-,-
*DUP-PAL01387,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.94,9,150,1.4,<5,>15,<1,6,28,8.7,1.38,1.61,16.7,63,0.75,1385,<1,0.47,31,0.03,118,0.32,<5,6.0,<10,573,0.16,39,<10,11.7,46,41.6,-,-,-
PAL01388,1.63,1.63,-,-,-,-,-,-,-,-,-,-,<2,4.89,7,147,1.6,<5,>15,<1,7,35,8.7,1.51,2.03,19.8,75,0.81,1432,<1,0.58,32,0.04,89,0.23,<5,7.3,<10,270,0.19,46,<10,14.0,44,51.8,-,-,-
PAL01389,0.46,0.46,-,-,-,-,-,-,-,-,-,-,<2,6.17,12,184,2.2,<5,>15,<1,9,45,5.5,1.91,2.44,27.3,89,0.95,1612,<1,0.79,38,0.04,200,0.36,5,9.1,<10,271,0.24,57,<10,17.9,71,68.4,-,-,-
PAL01390,0.66,0.66,-,-,-,-,-,-,-,-,-,-,<2,7.26,6,430,2.4,<5,7.79,<1,7,53,116,2.82,2.87,29.8,97,3.82,1837,<1,0.92,42,0.06,83,0.19,7,10.5,<10,654,0.28,69,<10,15.7,42,83.9,-,-,-
PAL01391,0.48,0.48,500.0,75.60,24.40,378.0,122.0,20.0,85.00,15.00,17.0,3.0,<2,6.83,8,562,2.2,<5,7.13,<1,6,48,127,2.46,2.66,29.7,86,3.62,2345,<1,0.95,33,0.05,84,0.42,<5,9.7,<10,964,0.27,62,<10,14.7,35,86.2,-,-,-
PAL01392,0.66,0.66,-,-,-,-,-,-,-,-,-,-,<2,6.76,12,752,2.0,<5,7.78,<1,7,45,9.3,2.84,2.60,29.5,81,3.74,2402,<1,0.93,35,0.05,141,1.26,8,9.6,<10,1672,0.27,60,<10,14.2,42,82.3,-,-,-
PAL01393,0.49,0.49,-,-,-,-,-,-,-,-,-,-,<2,6.86,18,473,2.3,<5,9.22,<1,14,47,32.1,3.24,2.74,26.1,88,4.52,1748,2,0.76,50,0.05,605,1.46,<5,10.0,<10,1005,0.26,69,<10,14.2,58,75.1,-,-,-
PAL01394,0.36,0.36,-,-,-,-,-,-,-,-,-,-,2,4.90,25,517,1.5,<5,13.4,<1,15,43,87.0,2.87,1.82,21.3,66,5.79,1848,2,0.55,43,0.04,1118,1.70,<5,7.2,<10,1459,0.19,60,<10,13.6,131,53.3,-,-,-
PAL01395,1.13,1.13,-,-,-,-,-,-,-,-,-,-,<2,0.63,<3,21,<0.5,<5,>15,<1,<1,2,4.5,0.49,0.23,4.6,9,12.3,675,<1,0.04,1,<0.01,22,0.03,<5,0.6,<10,32.7,0.01,<2,<10,3.3,33,11.3,-,-,-
PAL01396,0.49,0.49,-,-,-,-,-,-,-,-,-,-,2,6.02,24,251,2.0,<5,10.3,25,14,75,23.8,2.64,2.24,28.3,76,3.37,1680,18,0.84,81,0.04,1480,1.82,6,8.8,<10,509,0.24,182,15,18.5,7008,71.5,-,-,-
