BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01584,1.55,1.55,-,-,-,-,-,-,-,-,-,-,<2,0.51,<3,15,<0.5,<5,>15,<1,<1,3,2.8,0.49,0.12,3.5,8,11.7,698,<1,0.03,<1,<0.01,12,0.04,<5,0.6,<10,32.5,<0.01,<2,<10,3.3,51,11.5,-,-
PAL01585,3.43,3.43,-,-,-,-,-,-,-,-,-,-,<2,1.00,3,67,<0.5,<5,>15,<1,2,7,2.5,0.46,0.38,4.2,14,0.52,59,<1,0.09,7,0.01,6,>5,<5,1.4,<10,3534,0.04,12,<10,2.2,7,10.2,-,-
PAL01586,2.25,2.25,-,-,-,-,-,-,-,-,-,-,<2,1.44,5,82,0.5,<5,>15,<1,2,8,2.7,0.63,0.52,6.1,17,0.70,73,<1,0.10,7,0.01,8,>5,<5,2.1,<10,4243,0.05,15,<10,3.2,10,14.2,-,-
PAL01587,2.91,2.91,-,-,-,-,-,-,-,-,-,-,<2,2.01,6,96,0.7,<5,>15,<1,3,11,3.2,0.87,0.71,8.2,20,0.91,101,1,0.16,9,0.02,11,>5,<5,2.9,<10,3217,0.07,20,<10,4.5,12,19.8,-,-
*DUP-PAL01587,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,1.98,6,97,0.7,<5,>15,<1,3,13,4.2,0.86,0.73,7.8,22,0.92,111,1,0.16,9,0.02,7,>5,<5,2.8,<10,3125,0.07,21,<10,4.3,12,19.6,-,-
PAL01588,3.51,3.51,-,-,-,-,-,-,-,-,-,-,<2,1.42,5,92,<0.5,<5,15.0,<1,3,12,3.5,0.64,0.54,5.0,19,0.76,91,1,0.14,7,0.01,10,>5,<5,1.7,<10,2864,0.05,15,<10,2.3,11,11.1,-,-
PAL01589,2.58,2.58,-,-,-,-,-,-,-,-,-,-,<2,1.20,5,77,<0.5,<5,>15,<1,2,7,3.1,0.54,0.46,5.1,15,0.54,64,<1,0.10,7,0.01,6,>5,<5,1.7,<10,4509,0.04,13,<10,2.7,7,12.3,-,-
PAL01590,1.59,1.59,-,-,-,-,-,-,-,-,-,-,<2,0.26,<3,45,<0.5,<5,>15,<1,<1,3,6.4,0.14,0.10,1.8,12,0.13,14,3,0.08,3,<0.01,38,>5,<5,<0.5,<10,3639,0.01,4,<10,0.6,12,3.4,-,-
PAL01591,3.61,3.61,500.0,78.66,21.34,393.3,106.7,20.0,85.00,15.00,17.0,3.0,<2,0.32,<3,47,<0.5,<5,>15,<1,<1,3,3.1,0.16,0.13,1.7,17,0.19,19,1,0.10,<1,<0.01,20,>5,<5,<0.5,<10,3425,0.01,4,<10,0.7,7,3.0,-,-
PAL01592,2.14,2.14,-,-,-,-,-,-,-,-,-,-,<2,0.54,<3,44,<0.5,<5,>15,<1,<1,8,5.5,0.24,0.12,3.6,31,0.27,49,7,0.23,5,<0.01,20,>5,<5,0.7,<10,3491,0.03,10,<10,2.1,11,9.8,-,-
PAL01593,1.27,1.27,-,-,-,-,-,-,-,-,-,-,<2,0.48,<3,40,<0.5,<5,>15,<1,<1,7,3.4,0.21,0.11,3.0,41,1.77,58,7,0.22,4,<0.01,15,>5,<5,0.7,<10,2646,0.02,17,<10,1.8,9,7.9,-,-
PAL01594,2.32,2.32,-,-,-,-,-,-,-,-,-,-,<2,0.28,<3,28,<0.5,<5,>15,<1,<1,5,3.3,0.13,0.09,1.9,61,1.96,46,3,0.11,2,<0.01,21,>5,<5,<0.5,<10,1943,0.01,10,<10,0.8,11,3.9,-,-
PAL01595,1.53,1.53,-,-,-,-,-,-,-,-,-,-,<2,0.53,<3,16,<0.5,<5,>15,<1,<1,1,3.1,0.50,0.15,3.4,9,12.2,732,<1,0.03,<1,<0.01,14,0.16,<5,0.5,<10,53.2,<0.01,<2,<10,3.4,65,9.8,-,-
PAL01596,2.89,2.89,-,-,-,-,-,-,-,-,-,-,<2,0.22,<3,11,<0.5,<5,>15,<1,<1,3,2.1,0.11,0.11,1.7,113,1.21,35,5,0.07,3,<0.01,13,>5,<5,<0.5,<10,2201,<0.01,4,<10,0.6,16,2.9,-,-
PAL01597,1.86,1.86,-,-,-,-,-,-,-,-,-,-,<2,0.12,<3,33,<0.5,<5,>15,<1,<1,2,1.5,0.08,0.04,1.2,24,0.57,21,2,0.05,<1,<0.01,9,>5,<5,<0.5,<10,3475,<0.01,2,<10,<0.5,11,1.5,-,-
PAL01598,1.68,1.68,-,-,-,-,-,-,-,-,-,-,<2,1.39,5,56,<0.5,<5,>15,<1,3,12,6.2,0.74,0.47,7.3,37,0.78,138,<1,0.36,7,0.01,10,>5,<5,2.0,<10,3055,0.05,13,<10,5.2,10,14.1,-,-
PAL01599,1.51,1.51,-,-,-,-,-,-,-,-,-,-,<2,0.78,<3,51,<0.5,<5,>15,<1,1,8,3.3,0.47,0.22,4.6,18,2.96,115,<1,0.29,4,<0.01,7,>5,<5,1.1,<10,4221,0.03,9,<10,2.8,9,9.5,-,-
PAL01600,2.69,2.69,-,-,-,-,-,-,-,-,-,-,<2,1.14,3,47,<0.5,<5,>15,<1,2,11,4.1,0.65,0.34,5.2,36,6.23,129,<1,0.38,6,0.01,12,>5,<5,1.6,<10,2398,0.04,14,<10,3.7,18,13.6,-,-
PAL01601,2.76,2.76,-,-,-,-,-,-,-,-,-,-,<2,0.34,<3,24,<0.5,<5,>15,<1,<1,4,1.2,0.28,0.09,2.5,11,4.75,65,2,0.19,1,<0.01,11,>5,<5,0.5,<10,2767,0.01,4,<10,1.9,10,4.4,-,-
PAL01602,1.69,1.69,-,-,-,-,-,-,-,-,-,-,<2,0.12,<3,4,<0.5,<5,>15,<1,<1,2,1.7,0.09,0.04,1.3,8,1.94,29,1,0.08,1,<0.01,5,>5,<5,<0.5,<10,1612,<0.01,<2,<10,<0.5,16,1.5,-,-
PAL01603,1.83,1.83,-,-,-,-,-,-,-,-,-,-,<2,0.11,<3,5,<0.5,<5,>15,<1,<1,2,0.7,0.05,0.04,1.1,10,1.54,24,<1,0.07,1,<0.01,5,>5,<5,<0.5,<10,1736,<0.01,<2,<10,<0.5,11,1.5,-,-
PAL01604,1.37,1.37,-,-,-,-,-,-,-,-,-,-,<2,0.17,<3,14,<0.5,<5,>15,<1,<1,2,1.7,0.07,0.06,1.6,11,1.19,44,<1,0.08,3,<0.01,29,>5,<5,<0.5,<10,1761,<0.01,2,<10,0.5,73,2.1,-,-
