PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Pb_pct,Pb_pct_GMD,Pb_pct_LDD,Pb_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5]
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00001,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,2.58,2.58,2.58,,,,,,,,,,,<2,ICP40B,2,10,0.30,ICP40B,0.01,15,<3,ICP40B,3,10000,15,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,3,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,0.13,ICP40B,0.01,15,0.06,ICP40B,0.01,15,1.9,ICP40B,0.5,10000,22,ICP40B,1,10000,1.86,ICP40B,0.01,15,142,ICP40B,2,10000,2,ICP40B,1,10000,0.09,ICP40B,0.01,15,1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,22,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,1842,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,3,ICP40B,2,10000,<10,ICP40B,10,10000,0.6,ICP40B,0.5,10000,115,ICP40B,1,10000,3.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00001,2.58,2.58,-,-,-,-,-,-,-,-,-,-,<2,0.30,<3,15,<0.5,<5,>15,<1,<1,3,<0.5,0.13,0.06,1.9,22,1.86,142,2,0.09,1,<0.01,22,>5,<5,<0.5,<10,1842,<0.01,3,<10,0.6,115,3.4,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00002,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,1.78,1.78,1.78,,,,,,,,,,,<2,ICP40B,2,10,1.54,ICP40B,0.01,15,<3,ICP40B,3,10000,92,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,11,ICP40B,1,10000,54.5,ICP40B,0.5,10000,0.75,ICP40B,0.01,15,0.53,ICP40B,0.01,15,7.7,ICP40B,0.5,10000,27,ICP40B,1,10000,5.55,ICP40B,0.01,15,1052,ICP40B,2,10000,<1,ICP40B,1,10000,0.22,ICP40B,0.01,15,10,ICP40B,1,10000,0.02,ICP40B,0.01,15,40,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,1.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,934,ICP40B,0.5,5000,0.05,ICP40B,0.01,15,15,ICP40B,2,10000,<10,ICP40B,10,10000,4.4,ICP40B,0.5,10000,34,ICP40B,1,10000,19.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00002,1.78,1.78,-,-,-,-,-,-,-,-,-,-,<2,1.54,<3,92,<0.5,<5,>15,<1,4,11,54.5,0.75,0.53,7.7,27,5.55,1052,<1,0.22,10,0.02,40,>5,<5,1.7,<10,934,0.05,15,<10,4.4,34,19.2,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00003,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,2.18,2.18,2.18,,,,,,,,,,,<2,ICP40B,2,10,1.56,ICP40B,0.01,15,<3,ICP40B,3,10000,176,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,6,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,16,ICP40B,1,10000,74.6,ICP40B,0.5,10000,0.78,ICP40B,0.01,15,0.58,ICP40B,0.01,15,8.8,ICP40B,0.5,10000,28,ICP40B,1,10000,5.72,ICP40B,0.01,15,1070,ICP40B,2,10000,<1,ICP40B,1,10000,0.22,ICP40B,0.01,15,11,ICP40B,1,10000,0.02,ICP40B,0.01,15,69,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,1.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,1254,ICP40B,0.5,5000,0.06,ICP40B,0.01,15,18,ICP40B,2,10000,<10,ICP40B,10,10000,4.8,ICP40B,0.5,10000,30,ICP40B,1,10000,20.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00003,2.18,2.18,-,-,-,-,-,-,-,-,-,-,<2,1.56,<3,176,<0.5,6,>15,<1,5,16,74.6,0.78,0.58,8.8,28,5.72,1070,<1,0.22,11,0.02,69,>5,<5,1.8,<10,1254,0.06,18,<10,4.8,30,20.9,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00004,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,2.18,2.18,2.18,,,,,,,,,,,<2,ICP40B,2,10,3.21,ICP40B,0.01,15,4,ICP40B,3,10000,150,ICP40B,1,10000,1.2,ICP40B,0.5,2500,7,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,31,ICP40B,1,10000,117,ICP40B,0.5,10000,1.15,ICP40B,0.01,15,1.42,ICP40B,0.01,15,19.0,ICP40B,0.5,10000,53,ICP40B,1,10000,6.52,ICP40B,0.01,15,1945,ICP40B,2,10000,<1,ICP40B,1,10000,0.45,ICP40B,0.01,15,18,ICP40B,1,10000,0.03,ICP40B,0.01,15,151,ICP40B,2,10000,3.73,ICP40B,0.01,5,<5,ICP40B,5,10000,4.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,584,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,35,ICP40B,2,10000,<10,ICP40B,10,10000,9.0,ICP40B,0.5,10000,36,ICP40B,1,10000,41.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00004,2.18,2.18,-,-,-,-,-,-,-,-,-,-,<2,3.21,4,150,1.2,7,>15,<1,8,31,117,1.15,1.42,19.0,53,6.52,1945,<1,0.45,18,0.03,151,3.73,<5,4.4,<10,584,0.13,35,<10,9.0,36,41.2,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,*DUP-PAL00004,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,3.33,ICP40B,0.01,15,4,ICP40B,3,10000,156,ICP40B,1,10000,1.2,ICP40B,0.5,2500,8,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,28,ICP40B,1,10000,135,ICP40B,0.5,10000,1.17,ICP40B,0.01,15,1.44,ICP40B,0.01,15,18.3,ICP40B,0.5,10000,54,ICP40B,1,10000,6.72,ICP40B,0.01,15,1979,ICP40B,2,10000,1,ICP40B,1,10000,0.47,ICP40B,0.01,15,18,ICP40B,1,10000,0.03,ICP40B,0.01,15,156,ICP40B,2,10000,3.75,ICP40B,0.01,5,<5,ICP40B,5,10000,4.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,648,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,38,ICP40B,2,10000,<10,ICP40B,10,10000,9.0,ICP40B,0.5,10000,38,ICP40B,1,10000,41.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,*DUP-PAL00004,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.33,4,156,1.2,8,>15,<1,8,28,135,1.17,1.44,18.3,54,6.72,1979,1,0.47,18,0.03,156,3.75,<5,4.6,<10,648,0.13,38,<10,9.0,38,41.8,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00005,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,2.12,2.12,2.12,,,,,,,,,,,<2,ICP40B,2,10,5.01,ICP40B,0.01,15,4,ICP40B,3,10000,330,ICP40B,1,10000,1.9,ICP40B,0.5,2500,9,ICP40B,5,10000,11.2,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,42,ICP40B,1,10000,27.5,ICP40B,0.5,10000,1.49,ICP40B,0.01,15,2.03,ICP40B,0.01,15,25.6,ICP40B,0.5,10000,69,ICP40B,1,10000,5.04,ICP40B,0.01,15,1528,ICP40B,2,10000,<1,ICP40B,1,10000,0.60,ICP40B,0.01,15,23,ICP40B,1,10000,0.04,ICP40B,0.01,15,116,ICP40B,2,10000,1.97,ICP40B,0.01,5,<5,ICP40B,5,10000,6.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,434,ICP40B,0.5,5000,0.18,ICP40B,0.01,15,52,ICP40B,2,10000,<10,ICP40B,10,10000,11.0,ICP40B,0.5,10000,41,ICP40B,1,10000,66.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00005,2.12,2.12,-,-,-,-,-,-,-,-,-,-,<2,5.01,4,330,1.9,9,11.2,<1,9,42,27.5,1.49,2.03,25.6,69,5.04,1528,<1,0.60,23,0.04,116,1.97,<5,6.6,<10,434,0.18,52,<10,11.0,41,66.1,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00006,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,0.92,0.92,0.92,,,,,,,,,,,<2,ICP40B,2,10,5.93,ICP40B,0.01,15,7,ICP40B,3,10000,306,ICP40B,1,10000,2.0,ICP40B,0.5,2500,6,ICP40B,5,10000,6.96,ICP40B,0.01,15,<1,ICP40B,1,10000,11,ICP40B,1,10000,47,ICP40B,1,10000,20.4,ICP40B,0.5,10000,1.56,ICP40B,0.01,15,2.34,ICP40B,0.01,15,31.6,ICP40B,0.5,10000,74,ICP40B,1,10000,3.67,ICP40B,0.01,15,1205,ICP40B,2,10000,1,ICP40B,1,10000,0.76,ICP40B,0.01,15,26,ICP40B,1,10000,0.05,ICP40B,0.01,15,245,ICP40B,2,10000,0.97,ICP40B,0.01,5,<5,ICP40B,5,10000,7.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,238,ICP40B,0.5,5000,0.21,ICP40B,0.01,15,49,ICP40B,2,10000,<10,ICP40B,10,10000,12.8,ICP40B,0.5,10000,59,ICP40B,1,10000,88.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00006,0.92,0.92,-,-,-,-,-,-,-,-,-,-,<2,5.93,7,306,2.0,6,6.96,<1,11,47,20.4,1.56,2.34,31.6,74,3.67,1205,1,0.76,26,0.05,245,0.97,<5,7.5,<10,238,0.21,49,<10,12.8,59,88.7,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00007,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,0.43,0.43,0.43,500.0,78.40,21.60,392.0,108.0,20.0,85.50,14.50,17.1,2.9,<2,ICP40B,2,10,5.70,ICP40B,0.01,15,5,ICP40B,3,10000,425,ICP40B,1,10000,1.8,ICP40B,0.5,2500,10,ICP40B,5,10000,7.09,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,52,ICP40B,1,10000,26.9,ICP40B,0.5,10000,1.78,ICP40B,0.01,15,2.17,ICP40B,0.01,15,32.6,ICP40B,0.5,10000,63,ICP40B,1,10000,3.09,ICP40B,0.01,15,997,ICP40B,2,10000,2,ICP40B,1,10000,0.82,ICP40B,0.01,15,21,ICP40B,1,10000,0.05,ICP40B,0.01,15,429,ICP40B,2,10000,2.27,ICP40B,0.01,5,<5,ICP40B,5,10000,7.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,295,ICP40B,0.5,5000,0.21,ICP40B,0.01,15,48,ICP40B,2,10000,<10,ICP40B,10,10000,12.7,ICP40B,0.5,10000,116,ICP40B,1,10000,90.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00007,0.43,0.43,500.0,78.40,21.60,392.0,108.0,20.0,85.50,14.50,17.1,2.9,<2,5.70,5,425,1.8,10,7.09,<1,8,52,26.9,1.78,2.17,32.6,63,3.09,997,2,0.82,21,0.05,429,2.27,<5,7.2,<10,295,0.21,48,<10,12.7,116,90.9,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00008,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,0.43,0.43,0.43,,,,,,,,,,,<2,ICP40B,2,10,6.67,ICP40B,0.01,15,7,ICP40B,3,10000,451,ICP40B,1,10000,2.1,ICP40B,0.5,2500,8,ICP40B,5,10000,5.74,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,48,ICP40B,1,10000,46.3,ICP40B,0.5,10000,1.84,ICP40B,0.01,15,2.63,ICP40B,0.01,15,33.3,ICP40B,0.5,10000,76,ICP40B,1,10000,2.73,ICP40B,0.01,15,973,ICP40B,2,10000,2,ICP40B,1,10000,0.86,ICP40B,0.01,15,25,ICP40B,1,10000,0.05,ICP40B,0.01,15,766,ICP40B,2,10000,1.76,ICP40B,0.01,5,<5,ICP40B,5,10000,8.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,257,ICP40B,0.5,5000,0.26,ICP40B,0.01,15,61,ICP40B,2,10000,<10,ICP40B,10,10000,13.1,ICP40B,0.5,10000,37,ICP40B,1,10000,99.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00008,0.43,0.43,-,-,-,-,-,-,-,-,-,-,<2,6.67,7,451,2.1,8,5.74,<1,12,48,46.3,1.84,2.63,33.3,76,2.73,973,2,0.86,25,0.05,766,1.76,<5,8.4,<10,257,0.26,61,<10,13.1,37,99.0,-,-,-
Tannenberg,TR2503142,19-Dec-25,06-Feb-26,,PAL00009,Core,Drill Core,Drillhole,TR2503142     153             384,19-Dec-25,06-Feb-26,TR2503142,TR2503142     153             384,,0.37,0.37,0.37,,,,,,,,,,,<2,ICP40B,2,10,6.51,ICP40B,0.01,15,10,ICP40B,3,10000,509,ICP40B,1,10000,2.2,ICP40B,0.5,2500,9,ICP40B,5,10000,8.42,ICP40B,0.01,15,<1,ICP40B,1,10000,13,ICP40B,1,10000,62,ICP40B,1,10000,73.4,ICP40B,0.5,10000,2.04,ICP40B,0.01,15,2.64,ICP40B,0.01,15,33.1,ICP40B,0.5,10000,77,ICP40B,1,10000,4.57,ICP40B,0.01,15,1925,ICP40B,2,10000,2,ICP40B,1,10000,0.79,ICP40B,0.01,15,27,ICP40B,1,10000,0.05,ICP40B,0.01,15,1347,ICP40B,2,10000,1.00,ICP40B,0.01,5,5,ICP40B,5,10000,8.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,295,ICP40B,0.5,5000,0.25,ICP40B,0.01,15,66,ICP40B,2,10000,<10,ICP40B,10,10000,14.8,ICP40B,0.5,10000,26,ICP40B,1,10000,98.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,PAL00009,0.37,0.37,-,-,-,-,-,-,-,-,-,-,<2,6.51,10,509,2.2,9,8.42,<1,13,62,73.4,2.04,2.64,33.1,77,4.57,1925,2,0.79,27,0.05,1347,1.00,5,8.5,<10,295,0.25,66,<10,14.8,26,98.5,-,-,-
