PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Pb_pct,Pb_pct_GMD,Pb_pct_LDD,Pb_pct_UDD,Zn_pct,Zn_pct_GMD,Zn_pct_LDD,Zn_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00241,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,2.60,ICP40B,0.01,15,51,ICP40B,3,10000,364,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.67,ICP40B,0.01,15,<1,ICP40B,1,10000,20,ICP40B,1,10000,6,ICP40B,1,10000,728,ICP40B,0.5,10000,0.44,ICP40B,0.01,15,1.67,ICP40B,0.01,15,4.7,ICP40B,0.5,10000,29,ICP40B,1,10000,0.11,ICP40B,0.01,15,234,ICP40B,2,10000,1,ICP40B,1,10000,0.56,ICP40B,0.01,15,7,ICP40B,1,10000,0.02,ICP40B,0.01,15,15,ICP40B,2,10000,0.24,ICP40B,0.01,5,<5,ICP40B,5,10000,0.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,81.2,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,9,ICP40B,2,10000,<10,ICP40B,10,10000,3.4,ICP40B,0.5,10000,12,ICP40B,1,10000,17.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00241,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.60,51,364,0.7,<5,0.67,<1,20,6,728,0.44,1.67,4.7,29,0.11,234,1,0.56,7,0.02,15,0.24,<5,0.9,<10,81.2,0.04,9,<10,3.4,12,17.7,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00242,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.56,0.56,0.56,,,,,,,,,,,<2,ICP40B,2,10,2.60,ICP40B,0.01,15,49,ICP40B,3,10000,404,ICP40B,1,10000,0.7,ICP40B,0.5,2500,6,ICP40B,5,10000,0.66,ICP40B,0.01,15,<1,ICP40B,1,10000,19,ICP40B,1,10000,5,ICP40B,1,10000,672,ICP40B,0.5,10000,0.48,ICP40B,0.01,15,1.62,ICP40B,0.01,15,4.3,ICP40B,0.5,10000,26,ICP40B,1,10000,0.11,ICP40B,0.01,15,243,ICP40B,2,10000,<1,ICP40B,1,10000,0.54,ICP40B,0.01,15,6,ICP40B,1,10000,0.02,ICP40B,0.01,15,13,ICP40B,2,10000,0.24,ICP40B,0.01,5,<5,ICP40B,5,10000,0.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,100,ICP40B,0.5,5000,0.03,ICP40B,0.01,15,8,ICP40B,2,10000,<10,ICP40B,10,10000,3.3,ICP40B,0.5,10000,10,ICP40B,1,10000,16.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00242,0.56,0.56,-,-,-,-,-,-,-,-,-,-,<2,2.60,49,404,0.7,6,0.66,<1,19,5,672,0.48,1.62,4.3,26,0.11,243,<1,0.54,6,0.02,13,0.24,<5,0.8,<10,100,0.03,8,<10,3.3,10,16.8,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00243,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,-,,,,,,,,,,,,,>10,ICP40B,2,10,1.18,ICP40B,0.01,15,456,ICP40B,3,10000,5226,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,23,ICP40B,5,10000,10.7,ICP40B,0.01,15,4,ICP40B,1,10000,61,ICP40B,1,10000,1183,ICP40B,1,10000,3130,ICP40B,0.5,10000,4.76,ICP40B,0.01,15,0.44,ICP40B,0.01,15,4.3,ICP40B,0.5,10000,21,ICP40B,1,10000,5.87,ICP40B,0.01,15,1243,ICP40B,2,10000,<1,ICP40B,1,10000,0.04,ICP40B,0.01,15,846,ICP40B,1,10000,0.01,ICP40B,0.01,15,16,ICP40B,2,10000,0.18,ICP40B,0.01,5,794,ICP40B,5,10000,11.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,646,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,67,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,329,ICP40B,1,10000,12.5,ICP40B,0.5,10000,19,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00243,-,-,-,-,-,-,-,-,-,-,-,-,>10,1.18,456,5226,<0.5,23,10.7,4,61,1183,3130,4.76,0.44,4.3,21,5.87,1243,<1,0.04,846,0.01,16,0.18,794,11.0,<10,646,0.15,67,<10,<0.5,329,12.5,19,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00244,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.55,0.55,0.55,,,,,,,,,,,<2,ICP40B,2,10,2.83,ICP40B,0.01,15,39,ICP40B,3,10000,287,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.99,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,5,ICP40B,1,10000,556,ICP40B,0.5,10000,0.44,ICP40B,0.01,15,1.70,ICP40B,0.01,15,4.6,ICP40B,0.5,10000,34,ICP40B,1,10000,0.28,ICP40B,0.01,15,701,ICP40B,2,10000,<1,ICP40B,1,10000,0.60,ICP40B,0.01,15,6,ICP40B,1,10000,0.02,ICP40B,0.01,15,10,ICP40B,2,10000,0.23,ICP40B,0.01,5,<5,ICP40B,5,10000,1.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,101,ICP40B,0.5,5000,0.03,ICP40B,0.01,15,8,ICP40B,2,10000,<10,ICP40B,10,10000,3.8,ICP40B,0.5,10000,9,ICP40B,1,10000,15.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00244,0.55,0.55,-,-,-,-,-,-,-,-,-,-,<2,2.83,39,287,0.7,<5,0.99,<1,16,5,556,0.44,1.70,4.6,34,0.28,701,<1,0.60,6,0.02,10,0.23,<5,1.2,<10,101,0.03,8,<10,3.8,9,15.9,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,*DUP-PAL00244,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,2.96,ICP40B,0.01,15,41,ICP40B,3,10000,287,ICP40B,1,10000,0.8,ICP40B,0.5,2500,6,ICP40B,5,10000,1.02,ICP40B,0.01,15,<1,ICP40B,1,10000,17,ICP40B,1,10000,4,ICP40B,1,10000,570,ICP40B,0.5,10000,0.44,ICP40B,0.01,15,1.75,ICP40B,0.01,15,4.6,ICP40B,0.5,10000,35,ICP40B,1,10000,0.28,ICP40B,0.01,15,710,ICP40B,2,10000,1,ICP40B,1,10000,0.61,ICP40B,0.01,15,5,ICP40B,1,10000,0.02,ICP40B,0.01,15,9,ICP40B,2,10000,0.27,ICP40B,0.01,5,<5,ICP40B,5,10000,1.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,105,ICP40B,0.5,5000,0.03,ICP40B,0.01,15,9,ICP40B,2,10000,<10,ICP40B,10,10000,3.9,ICP40B,0.5,10000,11,ICP40B,1,10000,19.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,*DUP-PAL00244,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.96,41,287,0.8,6,1.02,<1,17,4,570,0.44,1.75,4.6,35,0.28,710,1,0.61,5,0.02,9,0.27,<5,1.3,<10,105,0.03,9,<10,3.9,11,19.5,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00245,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.48,0.48,0.48,500.0,82.20,17.80,411.0,89.0,20.0,85.00,15.00,17.0,3.0,<2,ICP40B,2,10,3.09,ICP40B,0.01,15,40,ICP40B,3,10000,275,ICP40B,1,10000,0.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.23,ICP40B,0.01,15,<1,ICP40B,1,10000,11,ICP40B,1,10000,5,ICP40B,1,10000,773,ICP40B,0.5,10000,0.56,ICP40B,0.01,15,1.74,ICP40B,0.01,15,4.9,ICP40B,0.5,10000,39,ICP40B,1,10000,0.47,ICP40B,0.01,15,1229,ICP40B,2,10000,<1,ICP40B,1,10000,0.61,ICP40B,0.01,15,5,ICP40B,1,10000,0.02,ICP40B,0.01,15,10,ICP40B,2,10000,0.19,ICP40B,0.01,5,<5,ICP40B,5,10000,1.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,88.7,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,9,ICP40B,2,10000,<10,ICP40B,10,10000,4.0,ICP40B,0.5,10000,12,ICP40B,1,10000,17.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00245,0.48,0.48,500.0,82.20,17.80,411.0,89.0,20.0,85.00,15.00,17.0,3.0,<2,3.09,40,275,0.8,<5,1.23,<1,11,5,773,0.56,1.74,4.9,39,0.47,1229,<1,0.61,5,0.02,10,0.19,<5,1.3,<10,88.7,0.04,9,<10,4.0,12,17.8,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00246,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.62,0.62,0.62,,,,,,,,,,,<2,ICP40B,2,10,2.79,ICP40B,0.01,15,18,ICP40B,3,10000,347,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.92,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,4,ICP40B,1,10000,1114,ICP40B,0.5,10000,0.33,ICP40B,0.01,15,1.67,ICP40B,0.01,15,4.4,ICP40B,0.5,10000,29,ICP40B,1,10000,0.18,ICP40B,0.01,15,428,ICP40B,2,10000,<1,ICP40B,1,10000,0.53,ICP40B,0.01,15,2,ICP40B,1,10000,0.02,ICP40B,0.01,15,8,ICP40B,2,10000,0.12,ICP40B,0.01,5,<5,ICP40B,5,10000,1.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,82.9,ICP40B,0.5,5000,0.02,ICP40B,0.01,15,7,ICP40B,2,10000,<10,ICP40B,10,10000,3.6,ICP40B,0.5,10000,8,ICP40B,1,10000,13.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00246,0.62,0.62,-,-,-,-,-,-,-,-,-,-,<2,2.79,18,347,0.7,<5,0.92,<1,2,4,1114,0.33,1.67,4.4,29,0.18,428,<1,0.53,2,0.02,8,0.12,<5,1.2,<10,82.9,0.02,7,<10,3.6,8,13.5,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00247,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.63,0.63,0.63,,,,,,,,,,,<2,ICP40B,2,10,2.72,ICP40B,0.01,15,35,ICP40B,3,10000,337,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.40,ICP40B,0.01,15,<1,ICP40B,1,10000,1,ICP40B,1,10000,4,ICP40B,1,10000,742,ICP40B,0.5,10000,0.42,ICP40B,0.01,15,1.50,ICP40B,0.01,15,4.2,ICP40B,0.5,10000,24,ICP40B,1,10000,0.26,ICP40B,0.01,15,774,ICP40B,2,10000,<1,ICP40B,1,10000,0.45,ICP40B,0.01,15,2,ICP40B,1,10000,0.02,ICP40B,0.01,15,9,ICP40B,2,10000,0.11,ICP40B,0.01,5,<5,ICP40B,5,10000,1.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,89.6,ICP40B,0.5,5000,0.02,ICP40B,0.01,15,6,ICP40B,2,10000,<10,ICP40B,10,10000,4.0,ICP40B,0.5,10000,16,ICP40B,1,10000,13.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00247,0.63,0.63,-,-,-,-,-,-,-,-,-,-,<2,2.72,35,337,0.6,<5,1.40,<1,1,4,742,0.42,1.50,4.2,24,0.26,774,<1,0.45,2,0.02,9,0.11,<5,1.3,<10,89.6,0.02,6,<10,4.0,16,13.1,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00248,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.58,0.58,0.58,,,,,,,,,,,<2,ICP40B,2,10,2.95,ICP40B,0.01,15,7,ICP40B,3,10000,287,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.57,ICP40B,0.01,15,<1,ICP40B,1,10000,1,ICP40B,1,10000,4,ICP40B,1,10000,163,ICP40B,0.5,10000,0.45,ICP40B,0.01,15,1.61,ICP40B,0.01,15,4.9,ICP40B,0.5,10000,27,ICP40B,1,10000,0.44,ICP40B,0.01,15,1236,ICP40B,2,10000,<1,ICP40B,1,10000,0.55,ICP40B,0.01,15,2,ICP40B,1,10000,0.02,ICP40B,0.01,15,6,ICP40B,2,10000,0.04,ICP40B,0.01,5,<5,ICP40B,5,10000,1.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,75.9,ICP40B,0.5,5000,0.02,ICP40B,0.01,15,7,ICP40B,2,10000,<10,ICP40B,10,10000,4.3,ICP40B,0.5,10000,6,ICP40B,1,10000,15.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00248,0.58,0.58,-,-,-,-,-,-,-,-,-,-,<2,2.95,7,287,0.7,<5,1.57,<1,1,4,163,0.45,1.61,4.9,27,0.44,1236,<1,0.55,2,0.02,6,0.04,<5,1.3,<10,75.9,0.02,7,<10,4.3,6,15.5,-,-,-,-
Tannenberg,TR2503144,22-Dec-25,06-Feb-26,,PAL00249,Core,Drill Core,Drillhole,TR2503144     143             392,22-Dec-25,06-Feb-26,TR2503144,TR2503144     143             392,,0.65,0.65,0.65,,,,,,,,,,,<2,ICP40B,2,10,3.15,ICP40B,0.01,15,<3,ICP40B,3,10000,290,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.57,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,5,ICP40B,1,10000,441,ICP40B,0.5,10000,0.48,ICP40B,0.01,15,1.71,ICP40B,0.01,15,5.1,ICP40B,0.5,10000,27,ICP40B,1,10000,0.44,ICP40B,0.01,15,1156,ICP40B,2,10000,<1,ICP40B,1,10000,0.54,ICP40B,0.01,15,2,ICP40B,1,10000,0.02,ICP40B,0.01,15,6,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,1.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,96.3,ICP40B,0.5,5000,0.03,ICP40B,0.01,15,6,ICP40B,2,10000,<10,ICP40B,10,10000,4.5,ICP40B,0.5,10000,5,ICP40B,1,10000,15.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5,PAL00249,0.65,0.65,-,-,-,-,-,-,-,-,-,-,<2,3.15,<3,290,0.7,<5,1.57,<1,<1,5,441,0.48,1.71,5.1,27,0.44,1156,<1,0.54,2,0.02,6,0.03,<5,1.1,<10,96.3,0.03,6,<10,4.5,5,15.2,-,-,-,-
