PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00841,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,1.27,1.27,1.27,,,,,,,,,,,<2,ICP40B,2,10,4.68,ICP40B,0.01,15,6,ICP40B,3,10000,704,ICP40B,1,10000,1.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.40,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,15,ICP40B,1,10000,3.3,ICP40B,0.5,10000,1.43,ICP40B,0.01,15,2.45,ICP40B,0.01,15,13.9,ICP40B,0.5,10000,27,ICP40B,1,10000,1.21,ICP40B,0.01,15,1044,ICP40B,2,10000,1,ICP40B,1,10000,0.97,ICP40B,0.01,15,13,ICP40B,1,10000,0.04,ICP40B,0.01,15,5,ICP40B,2,10000,0.05,ICP40B,0.01,5,<5,ICP40B,5,10000,3.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,154,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,29,ICP40B,2,10000,<10,ICP40B,10,10000,8.2,ICP40B,0.5,10000,10,ICP40B,1,10000,36.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00841,1.27,1.27,-,-,-,-,-,-,-,-,-,-,<2,4.68,6,704,1.4,<5,2.40,<1,4,15,3.3,1.43,2.45,13.9,27,1.21,1044,1,0.97,13,0.04,5,0.05,<5,3.6,<10,154,0.11,29,<10,8.2,10,36.0,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00842,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,-,,,,,,,,,,,,,7,ICP40B,2,10,6.81,ICP40B,0.01,15,790,ICP40B,3,10000,230,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.92,ICP40B,0.01,15,23,ICP40B,1,10000,551,ICP40B,1,10000,111,ICP40B,1,10000,4500,ICP40B,0.5,10000,5.59,ICP40B,0.01,15,1.61,ICP40B,0.01,15,18.3,ICP40B,0.5,10000,18,ICP40B,1,10000,1.89,ICP40B,0.01,15,848,ICP40B,2,10000,164,ICP40B,1,10000,2.40,ICP40B,0.01,15,452,ICP40B,1,10000,0.05,ICP40B,0.01,15,4123,ICP40B,2,10000,0.66,ICP40B,0.01,5,380,ICP40B,5,10000,18.6,ICP40B,0.5,10000,59,ICP40B,10,10000,180,ICP40B,0.5,5000,0.65,ICP40B,0.01,15,142,ICP40B,2,10000,<10,ICP40B,10,10000,2.9,ICP40B,0.5,10000,3954,ICP40B,1,10000,115,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00842,-,-,-,-,-,-,-,-,-,-,-,-,7,6.81,790,230,1.5,<5,3.92,23,551,111,4500,5.59,1.61,18.3,18,1.89,848,164,2.40,452,0.05,4123,0.66,380,18.6,59,180,0.65,142,<10,2.9,3954,115,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00843,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,4.13,4.13,4.13,,,,,,,,,,,<2,ICP40B,2,10,0.27,ICP40B,0.01,15,155,ICP40B,3,10000,7013,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,10,ICP40B,5,10000,>15,ICP40B,0.01,15,2,ICP40B,1,10000,9,ICP40B,1,10000,12,ICP40B,1,10000,21.2,ICP40B,0.5,10000,6.98,ICP40B,0.01,15,0.12,ICP40B,0.01,15,7.1,ICP40B,0.5,10000,2,ICP40B,1,10000,2.60,ICP40B,0.01,15,5948,ICP40B,2,10000,19,ICP40B,1,10000,0.04,ICP40B,0.01,15,22,ICP40B,1,10000,0.01,ICP40B,0.01,15,10,ICP40B,2,10000,0.27,ICP40B,0.01,5,9,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,302,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,6.4,ICP40B,0.5,10000,21,ICP40B,1,10000,6.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00843,4.13,4.13,-,-,-,-,-,-,-,-,-,-,<2,0.27,155,7013,<0.5,10,>15,2,9,12,21.2,6.98,0.12,7.1,2,2.60,5948,19,0.04,22,0.01,10,0.27,9,<0.5,<10,302,0.01,<2,<10,6.4,21,6.5,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00844,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,4.27,4.27,4.27,,,,,,,,,,,<2,ICP40B,2,10,0.15,ICP40B,0.01,15,22,ICP40B,3,10000,>10000,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,6,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,2.11,ICP40B,0.01,15,0.07,ICP40B,0.01,15,7.4,ICP40B,0.5,10000,2,ICP40B,1,10000,8.49,ICP40B,0.01,15,6436,ICP40B,2,10000,5,ICP40B,1,10000,0.04,ICP40B,0.01,15,12,ICP40B,1,10000,<0.01,ICP40B,0.01,15,3,ICP40B,2,10000,0.37,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,378,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,3.6,ICP40B,0.5,10000,12,ICP40B,1,10000,3.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00844,4.27,4.27,-,-,-,-,-,-,-,-,-,-,<2,0.15,22,>10000,<0.5,<5,>15,<1,<1,6,<0.5,2.11,0.07,7.4,2,8.49,6436,5,0.04,12,<0.01,3,0.37,<5,<0.5,<10,378,<0.01,<2,<10,3.6,12,3.0,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,*DUP-PAL00844,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,0.17,ICP40B,0.01,15,29,ICP40B,3,10000,>10000,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,9,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,2.37,ICP40B,0.01,15,0.08,ICP40B,0.01,15,8.3,ICP40B,0.5,10000,3,ICP40B,1,10000,9.42,ICP40B,0.01,15,7002,ICP40B,2,10000,5,ICP40B,1,10000,0.05,ICP40B,0.01,15,13,ICP40B,1,10000,<0.01,ICP40B,0.01,15,5,ICP40B,2,10000,0.42,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,408,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,3.9,ICP40B,0.5,10000,15,ICP40B,1,10000,3.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,*DUP-PAL00844,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,0.17,29,>10000,<0.5,5,>15,<1,<1,9,<0.5,2.37,0.08,8.3,3,9.42,7002,5,0.05,13,<0.01,5,0.42,<5,<0.5,<10,408,<0.01,<2,<10,3.9,15,3.5,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00845,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,2.49,2.49,2.49,,,,,,,,,,,<2,ICP40B,2,10,0.16,ICP40B,0.01,15,12,ICP40B,3,10000,9439,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,5,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,2.35,ICP40B,0.01,15,0.03,ICP40B,0.01,15,4.9,ICP40B,0.5,10000,2,ICP40B,1,10000,9.67,ICP40B,0.01,15,>10000,ICP40B,2,10000,1,ICP40B,1,10000,0.04,ICP40B,0.01,15,8,ICP40B,1,10000,<0.01,ICP40B,0.01,15,2,ICP40B,2,10000,0.37,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,1154,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,4.9,ICP40B,0.5,10000,11,ICP40B,1,10000,2.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00845,2.49,2.49,-,-,-,-,-,-,-,-,-,-,<2,0.16,12,9439,<0.5,<5,>15,<1,<1,5,<0.5,2.35,0.03,4.9,2,9.67,>10000,1,0.04,8,<0.01,2,0.37,<5,<0.5,<10,1154,<0.01,<2,<10,4.9,11,2.3,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00846,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,4.68,4.68,4.68,500.0,75.80,24.20,379.0,121.0,20.0,86.50,13.50,17.3,2.7,<2,ICP40B,2,10,0.07,ICP40B,0.01,15,11,ICP40B,3,10000,6544,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,6,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,6,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,2.60,ICP40B,0.01,15,0.03,ICP40B,0.01,15,6.4,ICP40B,0.5,10000,3,ICP40B,1,10000,9.61,ICP40B,0.01,15,>10000,ICP40B,2,10000,<1,ICP40B,1,10000,0.04,ICP40B,0.01,15,9,ICP40B,1,10000,<0.01,ICP40B,0.01,15,3,ICP40B,2,10000,0.22,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,262,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,2,ICP40B,2,10000,<10,ICP40B,10,10000,5.0,ICP40B,0.5,10000,14,ICP40B,1,10000,2.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00846,4.68,4.68,500.0,75.80,24.20,379.0,121.0,20.0,86.50,13.50,17.3,2.7,<2,0.07,11,6544,<0.5,6,>15,<1,<1,6,<0.5,2.60,0.03,6.4,3,9.61,>10000,<1,0.04,9,<0.01,3,0.22,<5,<0.5,<10,262,<0.01,2,<10,5.0,14,2.2,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00847,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,4.32,4.32,4.32,,,,,,,,,,,<2,ICP40B,2,10,0.12,ICP40B,0.01,15,32,ICP40B,3,10000,>10000,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,6,ICP40B,5,10000,>15,ICP40B,0.01,15,1,ICP40B,1,10000,<1,ICP40B,1,10000,8,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,4.58,ICP40B,0.01,15,0.02,ICP40B,0.01,15,8.3,ICP40B,0.5,10000,2,ICP40B,1,10000,8.30,ICP40B,0.01,15,>10000,ICP40B,2,10000,<1,ICP40B,1,10000,0.03,ICP40B,0.01,15,16,ICP40B,1,10000,<0.01,ICP40B,0.01,15,4,ICP40B,2,10000,0.50,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,608,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,5.6,ICP40B,0.5,10000,20,ICP40B,1,10000,2.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00847,4.32,4.32,-,-,-,-,-,-,-,-,-,-,<2,0.12,32,>10000,<0.5,6,>15,1,<1,8,<0.5,4.58,0.02,8.3,2,8.30,>10000,<1,0.03,16,<0.01,4,0.50,<5,<0.5,<10,608,<0.01,<2,<10,5.6,20,2.7,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00848,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,4.78,4.78,4.78,,,,,,,,,,,<2,ICP40B,2,10,0.25,ICP40B,0.01,15,27,ICP40B,3,10000,>10000,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,6,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,1,ICP40B,1,10000,7,ICP40B,1,10000,10.6,ICP40B,0.5,10000,2.85,ICP40B,0.01,15,0.02,ICP40B,0.01,15,5.4,ICP40B,0.5,10000,6,ICP40B,1,10000,8.58,ICP40B,0.01,15,>10000,ICP40B,2,10000,<1,ICP40B,1,10000,0.12,ICP40B,0.01,15,21,ICP40B,1,10000,<0.01,ICP40B,0.01,15,6,ICP40B,2,10000,0.49,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,1541,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,3,ICP40B,2,10000,<10,ICP40B,10,10000,5.5,ICP40B,0.5,10000,28,ICP40B,1,10000,2.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00848,4.78,4.78,-,-,-,-,-,-,-,-,-,-,<2,0.25,27,>10000,<0.5,6,>15,<1,1,7,10.6,2.85,0.02,5.4,6,8.58,>10000,<1,0.12,21,<0.01,6,0.49,<5,<0.5,<10,1541,<0.01,3,<10,5.5,28,2.6,-,-
Tannenberg,TR2503149,23-Dec-25,06-Feb-26,,PAL00849,Core,Drill Core,Drillhole,TR2503149     148             376,23-Dec-25,06-Feb-26,TR2503149,TR2503149     148             376,,4.93,4.93,4.93,,,,,,,,,,,<2,ICP40B,2,10,0.05,ICP40B,0.01,15,36,ICP40B,3,10000,>10000,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,11,ICP40B,5,10000,>15,ICP40B,0.01,15,3,ICP40B,1,10000,6,ICP40B,1,10000,12,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,8.71,ICP40B,0.01,15,0.01,ICP40B,0.01,15,3.5,ICP40B,0.5,10000,5,ICP40B,1,10000,5.63,ICP40B,0.01,15,>10000,ICP40B,2,10000,<1,ICP40B,1,10000,0.03,ICP40B,0.01,15,16,ICP40B,1,10000,<0.01,ICP40B,0.01,15,10,ICP40B,2,10000,0.45,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,3152,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,8.8,ICP40B,0.5,10000,16,ICP40B,1,10000,2.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL00849,4.93,4.93,-,-,-,-,-,-,-,-,-,-,<2,0.05,36,>10000,<0.5,11,>15,3,6,12,<0.5,8.71,0.01,3.5,5,5.63,>10000,<1,0.03,16,<0.01,10,0.45,<5,<0.5,<10,3152,<0.01,<2,<10,8.8,16,2.8,-,-
