SheetNo,Directory,SampleName_Orig,X_GK3,Y_GK3,TotalDepth_m,Strat_DE,SampleType_DE,CoreFrom_m,CoreTo_m,CuttingsFrom_m,CuttingsTo_m,HOLEID,PROJECTCOD,GEOLFROM,GEOLTO,PROSPECT,PRIORITY,Lith1,LT_Color1,Lith2,LT_Color2,LT_GrnSize,LT_Texture,Lith_Desc,LT_LogDate,LT_LogBy,HL_MesUnit,GEOLFROM_Original,GEOLTO_Original,OSDU_Inges,WGS84_CALX,WGS84_CALY,COORD_SYST,SampleType_EN
4924,??,Braach (1979),3548010,5651830,155.45,Perm: z; Oberdevon,Core,2,155.45,,,Braach,Tannenberg Copper Project,2,155.45,,1,Permian: Zechstein; Upper Devonian,,,,,,Perm: z; Oberdevon,,,metres,2,155.45,,9.6828691,50.9996586,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core
4924,110,"HKZ 1001, Rotenburg/Fulda",3552350,5652500,1702,"Trias: su; Perm: z, ro; Devon: do-m.Spülproben von 0-255 m, 297,5-1009 m, dazw. Kerne","Core, Cuttings",255,297.5,0,1702,HKZ 1001,Tannenberg Copper Project,255,297.5,,1,"Triassic: Lower-Buntsandstein; Permian: Zechstein, Roet(Perm-Trias); Devonian: Upper-Devonian-Muschelkalk.Cuttings samples von 0-255 Muschelkalk, 297,5-1009 Muschelkalk, in between Cores",,,,,,"Trias: su; Perm: z, ro; Devon: do-m.Spülproben von 0-255 m, 297,5-1009 m, dazw. Kerne",,,metres,255,297.5,,9.7447857,51.0053027,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core and Cuttings
4924,102,"KB I,Herlefeld (1978)",3553100,5660760,151,"Quartär;p; Perm: z; Praezechstein, Grauwacke",Part of Core,4,151,,,KB I,Tannenberg Copper Project,4,151,,1,"Quaternary;p; Permian: Zechstein; Pre-Zechstein basement, Greywacke",,,,,,"Quartär;p; Perm: z; Praezechstein, Grauwacke",,,metres,4,151,,9.7566795,51.0794756,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core (partial)
4924,101,Obergude (1979),3549600,5659800,200.2,Perm: z; Devon: do,Core,21.5,201,,,Obergude,Tannenberg Copper Project,21.5,201,,1,Permian: Zechstein; Devonian: Upper-Devonian,,,,,,Perm: z; Devon: do,,,metres,21.5,201,,9.7066072,51.0711598,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core
4925,198,C/76 - B 15 (1976),3569860,5663030,55.15,Quartär; Trias: s,Core,0,55.15,,,C/76 - B 15,Tannenberg Copper Project,0,55.15,,1,Quaternary; Triassic: Buntsandstein,,,,,,Quartär; Trias: s,,,metres,0,55.15,,9.9962492,51.0980835,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core
4925,204,C/77 - B 10 (1977),3564020,5658490,68.2,"Perm: z, r",Core,0,49.15,,,C/77 - B 10,Tannenberg Copper Project,0,49.15,,1,"Permian: Zechstein, Roet",,,,,,"Perm: z, r",,,metres,0,49.15,,9.9120873,51.0579605,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core
4925,58,Cornberg (1964/65),3560370,5656280,151.6,Perm: z,Part of Core,136,151.6,,,Cornberg,Tannenberg Copper Project,136,151.6,,1,Permian: Zechstein,,,,,,Perm: z,,,metres,136,151.6,,9.8596642,51.0384922,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core (partial)
4925,206,"KB 01 (1978),Sontra",3566470,5658290,15,Perm: z; Paläozoikum (Tonschiefer),Core,0,15,,,KB 01,Tannenberg Copper Project,0,15,,1,Permian: Zechstein; Palaeozoic (Clay Slate),,,,,,Perm: z; Paläozoikum (Tonschiefer),,,metres,0,15,,9.946991,51.055885,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core
4925,235,RO 39 Dachsloch,3568575,5655350,195,"zWAW,zWCA,zwT,roW,r",Part of Core,179,195,,,RO 39 Dachsloch,Tannenberg Copper Project,179,195,,1,"Werra-Anhydrite(z1),Werra-Carbonate(z1),Werra-Clay(z1),Roet-Werra-transition,Roet",,,,,,"zWAW,zWCA,zwT,roW,r",,,metres,179,195,,9.9764537,51.0292144,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core (partial)
4925,236,RO 45 Höhenweg,3567375,5655175,288,zWCA;zWT;roW;r,Part of Core,260,288,,,RO 45 Höhenweg,Tannenberg Copper Project,260,288,,1,Werra-Carbonate(z1);zWT;Roet-Werra-transition;Roet,,,,,,zWCA;zWT;roW;r,,,metres,260,288,,9.9593182,51.0277833,DHDN / Gauss-Kruger Zone 3 (EPSG:31467),Core (partial)
